license_num,historicallicensenum,status,business_name,dba_name,location_comments,applicant,manager,evening_phone,address,Neighborhood,gpsx,gpsy
LB-99615,CV7MW0384,Active,COLUMBUS MANAGING CORP.,DELPHINO'S RESTAURANT,"IN ONE ROOM ON THE FIRST FLOOR, KITCHEN IN THE REAR WITH STORAGE IN THE BASEMENT.", COLUMBUS MANAGING CORP., STEPHEN R. JUDGE,6173646738,754-   South ST,Roslindale,756423.6274,2929835.437
LB-101652,INNAL0038,Active,"CJ WASHINGTON STREET, LLC","""DOUBLETREE HOTEL-BOSTON""",In whole said of premises-comprising unit No. 1 in the Washington Oak Commercial Condominium. (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.)," CJ WASHINGTON STREET, LLC", ANTHONY FRANZONE,(973)222-7973,821-   Washington ST,Boston,773940.5876,2952484.517
LB-101653,INNAL0039,Active,"THE RITZ CARLTON HOTEL COMPANY, LLC",THE RITZ CARLTON,"In whole of said building includes bar in lobby area and excludes that portion of the premises leased to Washington D.C. Sports Club, Inc. located in the ""South Block"" of the licensed Innholder premises on floors 4 and 4m (Mezzanine) and bounded by"," THE RITZ CARLTON HOTEL COMPANY, LLC", William P. Bunce,(602)549-3517,1-2   Avery ST,Boston,0,0
LB-101656,INNAL0042,Active,PYRAMID TUDOR WHARF HOTEL LLC,RESIDENCE INN BY MARRIOTT,"IN WHOLE OF SAID BUILDING AND TO INCLUDE OUTDOOR SEASONAL DINING ALONG ENTIRE EASTERLY WALL OF HOTEL AND THE OUTDOOR PATIO AND DECK ALONG THE SOUTHERLY WALL OF HOTEL REFERRED TO AS THE ""TUDOR WHARF PIER"" FROM APRIL THROUGH OCTOBER FOR 300 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 11:00 A.M. -", PYRAMID TUDOR WHARF HOTEL LLC, RYAN D. PHILLIPS,(617)470-6580,44-   Charles River AVE,Charlestown,774930.8982,2960384.591
LB-101660,INNAL0046,Active,"DIAMONDROCK BOSTON TENANT, LLC",WESTIN BOSTON WATERFRONT,"MAIN ENTRANCE ON SUMMER STREET INTO LOBBY OF HOTEL; GUEST ROOMS ON FLOORS 4-17 TO THE RIGHT OF MAIN ENTRANCE; ON 3 FLOORS TO THE LEFT OF MAIN ENTRANCE: FIRST FLOOR EXHIBIT SPACE, 8 FUNCTION ROOMS, PRE-FUNCTION AREA AND OUTDOOR TERRACE; 2ND FLOOR RETAIL SPACE, INTERIM FUNCTION SPACE, 7 FUNCTION ROOMS"," DIAMONDROCK BOSTON TENANT, LLC", Gregory Clark,(617)532-4801,425     Summer ST,Boston,779681.116,2951522.01
LB-98969,CV7AL0090,Active,"SPORTER'S CAFE, INC.",THE HILL,"IN ONE ROOM AND KITCHEN, FIRST FLOOR BASEMENT FOR STOCK AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FOR 20 PATRONS BETWEEN THE HOURS OF NOON AND 11:00 P.M. DPW LAND"," SPORTER'S CAFE, INC.", MARK C. MURPHY,(617)742-4084,228-   Cambridge ST,Boston,773298,2956870
LB-99592,CV7MW0286,Active,"Panda Hot Pot Chinatown, Inc.",Wei Shu Wu Hot Pot,"19-19A, 21, 23 Hudson Street, Boston, MA 02111.  The premise consists of 3425 Sq. Ft. on the first floor with a dining room (seating capacity of 100) and kitchen."," Panda Hot Pot Chinatown, Inc.", Feng Chen,(617)908-7755,19-23  Hudson St,Boston,775025.5163,2953089.744
LB-98980,CV7AL0102,Active,"LAGRANGE LOUNGE AND RESTAURANT, INC.",CORRIB PUB & RESTAURANT,"Rear entrance for stock; in one room, kitchen, and office on the first floor; cellar for stock."," LAGRANGE LOUNGE AND RESTAURANT, INC.", ANTHONY BLIGH,(617)323-1917,2022-2030   Centre ST,West Roxbury,748739.6857,2927537.379
LB-99522,CV7MW0055,Active,THE BALANCE PATCH 1031 INC.,BALANCE PATCH,," THE BALANCE PATCH 1031, INC.", PETER LIND,(781)659-9923,1031-  Commonwealth Av,Boston,758421.0807,2953630.827
LB-99125,CV7AL0275,Active,"SPINELLI'S BANQUET HALL, INC.",SPINELLI'S BANQUET HALL,"282 Bennington St.; In two rooms, kitchen and storage on the second floor"," SPINELLI'S BANQUET HALL, INC.", LOUIE ROBERTO,(,282-  Bennington ST,East Boston,783459.2605,2963448.696
LB-98811,CLBAL0040,Active,CHILTON CLUB,,In whole of said building.  , CHILTON CLUB, CAROL A. BLISS,(617)266-4860,150-152  Commonwealth AVE,Boston,770296.7795,2953402.925
LB-99424,CV7AL0626,Active,"CONGRESS FINE DINING, LLC",LUCKY'S,"UNNUMBERED SIDE ENTRANCE, ON A STREET, REAR ROOM FOR STOCK; ON SECOND FLOOR; IN ONE ROOM; ENTRANCE/EXIT ON CONGRESS ST. AND A ST. ENTRANCE/EXIT ON PRIVATE WAY IN REAR FOR DELIVERIES. NO MORE THAN 85 STANDING."," CONGRESS FINE DINING, LLC", MATTHEW CASEY,(781)710-4290,355-359   Congress ST,Boston,778218.9403,2952910.681
LB-101957,RETAL0173,Active,"CAPE VERDEAN LIQUORS, INC.",,In one room on the first floor; cellar for stock.  ," CAPE VERDEAN LIQUORS, INC.", ARLINDO L. CORREIA,(617)265-4733,690-   Columbia RD,Dorchester,774469,2941990
LB-101963,RETAL0181,Active,"DEARBORN LIQUOR STORE, INC.",DEARBORN WINE,Two rooms first floor; cellar for stock.," DEARBORN LIQUOR STORE, INC.", CARLOS R. CASTILLO,(617)265-5086,60-  Dearborn ST,Roxbury,769986.0081,2945075.573
LB-99139,CV7AL0290,Active,"UNION OYSTER HOUSE, INC.",UNION OYSTER HOUSE,Premises also addressed as 41 Union St.; side door on Marshall Lane; in two rooms and two kitchens on the first floor; five rooms and kitchen on the second floor; two rooms on the third floor; fourth floor and cellars for stock.  CAPACITY BREAKDOWN: 1ST FL - 311; 2ND FL - 234; 3RD FL - 20.," UNION OYSTER HOUSE, INC."," JOSEPH A. MILANO, JR.",,20-  Marshall ST,Boston,775950.9812,2957014.648
LB-99349,CV7AL0539,Active,224 BOSTON RESTAURANT LLC,224 BOSTON,"Two connected rooms with entrances on Boston Street - Kitchen on the first floor, outside patio, and basement for stock.", 224 BOSTON RESTAURANT LLC, ERIC AULENBACK,,224-   Boston ST,Dorchester,774928,2942770
LB-99209,CV7AL0368,Active,"NOSMADA, INC.",Shenannigans,," NOSMADA, INC.", PAUL J. ADAMSON,(617)770-9097,332- W Broadway ,South Boston,777864.2136,2948668.194
LB-98828,,Active,"IRISH SOCIAL CLUB, INC. OF BOSTON",,"ENTRANCE ON PARK STREET AT FRONT OF BUILDING; TWO EXITS ON SIDE WALL, ONE EXIT ON REAR WALL, ONE FLOOR BUILDING; LARGE FUNCTION HALL AND LOUNGE; THREE ROOMS AND KITCHEN; CELLAR FOR STORAGE."," IRISH SOCIAL CLUB, INC. OF BOSTON", JOHN J. WATSON,(617)549-9812,119-  Park ST,West Roxbury,749359.6792,2928894.779
LB-99207,CV7AL0367,Active,"MACUMBA LATINA, INC.",MACUMBA LATINA,"Three emergency exits; in two rooms and kitchen on the first floor; cellar for stock.  Capacity breakdown: 208 standing, 52 seating."," MACUMBA LATINA, INC.", JOAO V. LOPES,(617)427-4214,477-  River ST,Mattapan,766312.0666,2923017.712
LB-99252,CV7AL0419,Active,"WANG THEATRE, INC.",WANG THEATRE,In whole of said building with a 2:00 A.M. Restriction. Alcoholic beverages are served before shows & during intermissions in the lobby.," WANG THEATRE, INC."," JOSIAH A. SPAULDING, JR.",(978)777-6449,268-  Tremont ST,Boston,773811.2827,2953031.957
LB-99529,CV7MW0073,Active,"DIRT + WATER, LLC",haley.henry,"32 floor mixed-use, residential building; first floor commercial/ retail unit to be licensed; 1 room, 1 double-door entrance/exit; 1 handicap accessible bathroom; kitchen located behind the bar, consisting of: 1 oven, 1 slicer, 1 panini press - no open flame cooking; 686 square feet."," DIRT + WATER, LLC", HALEY FORTIER,,45-  Province ST,Boston,775046.1073,2955440.97
LB-99229,CV7AL0392,Active,"150 CANAL STREET, INC.",,IN ONE LARGE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR ENTRANCE/EXIT ON CANAL STREET; EMERGENCY EXIT ON SIDE OF BUILDING. AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 32 PATRONS.   DPW LAND," 150 CANAL STREET, INC.", AUSTIN O'CONNOR,,150-   Canal ST,Boston,774861.2681,2958267.989
LB-99427,CV7AL0629,Active,"CARMAC, INC.",6B/Emmetts,IN TWO ROOMS ON  FIRST FLOOR; KITCHEN AND STORAGE IN TWO ROOMS IN BASEMENT.  Capacity breakdown: 120 @ Emmetts; 120 @ 6-B Side.," CARMAC, INC.", ELIZABETH C. PALMER,(781)631-6263,6-   Beacon ST,Boston,774679.1651,2955839.952
LB-99110,CV7AL0254,Active,"AZUMI, LLC",ZUMA,"In one large room on first floor, with bar, kitchen, office and storage, one entrance and three exits (7,000 sq. ft.). "," AZUMI, LLC", Taryn Leo,,1-7  Dalton ST,Boston,768622.2104,2951295.701
LB-101640,INNAL0027,Active,COURTYARD MANAGEMENT CORPORATION,Courtyard Boston Downtown,"In whole of said building - deleting 279 Tremont Street; also deleting entire third floor ballroom, kitchen and storage room and fourth floor balcony areas, the seperate (non-lobby) entrance from Tremont Street. Exit and emergency exits from the third and fourth floor areas of the building.  2 rooms", COURTYARD MANAGEMENT CORPORATION, John G. Wilmoth,(978)356-4723,275     Tremont ST,Boston,773628.4462,2952884.123
LB-101573,GOPAL0014,Active,110 Boulevard Restaurant LLC ,110 Boulevard,, 110 Boulevard Restaurant LLC, Lazarus Askitis,(781)492-3540,110-  Broad St,Boston,777242.9007,2955580.894
LB-99403,CV7AL0602,Active,"DONAN, INC.",ARTU,"FIRST FLOOR RESTAURANT WITH ADJOINING KITCHEN IN FOUR ROOMS; WITH BAR FOR TEN SEATS.  STORAGE ROOM IN BASEMENT.  RESTAURANT AND KITCHEN ON FIRST FLOOR WITH PASSAGEWAY JOINING DINING ROOMS  4-6-8 PRINCE STREET, BOSTON, MA  02113"," DONAN, INC.", NANCY T. FRATTAROLI,6177424336,4-   Prince ST,Boston,776786.8738,2958004.662
LB-99807,CV7MWL0161,Active,"ALTAMIRA BANQUETS, LLC",MI PUEBLITO ORIENT HEIGHTS,"IN ONE ROOM ON THE FIRST FLOOR/KITCHEN, DINING ROOM, LOUNGE AREA WITH A CUSTOMER BAR WITH 8 BAR STOOLS, 64 TABLES.  ON THE BASEMENT LEVEL/TWO FUNCTION ROOMS, STORAGE, CUSTOMER BAR WITH 7 STOOLS, 70 TABLES.  "," ALTAMIRA BANQUETS, LLC", ALTAMIRA CARPIO,(617)259-8651,964-   Saratoga ST,East Boston,788921.2999,2966497.012
LB-99389,CV7AL0584,Active,"111, LLC",BROWNSTONE,"111 Dartmouth St.; First Floor consisting of on room with four seating areas and bar, kitchen and storage in the rear; storage and prep area in the basement."," 111, LLC", PAUL WILSON,6174517400,111-   Dartmouth ST,Boston,770981,2951560
LB-99687,CV7MW0536,Active,Wabora Newton LLC,Lobstah on A Roll,DINING AREA ON THE GROUND LEVEL WITH KITCHEN AND STORAGE IN THE REAR AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 22 PATRONS., WABORA NEWTON LLC, SHI-CHANG WOOH,,254-   Newbury ST,Boston,768959.6058,2952593.358
LB-99336,CV7AL0518,Active,"J.J. FOLEY'S GRILL, INC.",J.J. FOLEY'S,In one large room on the first floor with an enlarged kitchen area; one room on Mezzanine level; one large room in basement for stock.  Capacity breakdown: dining room - 134; bar - 85.," J.J. FOLEY'S GRILL, INC.", JAMES F. FOLEY,(617)695-2529,21-  Kingston ST,Boston,775323.5226,2954271.492
LB-99604,CV7MW0344,Active,"GOURMET CHINA, INC.",,In one dining room on the first floor with kitchen and storage in the rear.  ," GOURMET CHINA, INC.", XIAN RONG ZENG,6174723171,23-  Tyler ST,Boston,774843.4146,2953137.976
LB-99761,CV7MWL0091,Active,"PIERROT, INC.",Ma Maison,"IN ONE ROOM ON THE FIRST FLOOR, KITCHEN AND STORAGE IN THE REAR."," PIERROT, INC.", STANISLAVA NEDIALKOVA,(617)973-0542,272-  Cambridge ST,Boston,772925.5505,2956855.05
LB-101641,INNAL0028,Active,OMNI BOSTON CORPORATION,THE PARKER HOUSE,"@ 60,72,74 Tremont Street; 42,52,60 School Street; 5 Bosworth Street; in whole of said building with minibars in 481 of the guestrooms. SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.", OMNI BOSTON CORPORATION, CYNTHIA AVELIS,,60-74   Tremont ST,Boston,775063.9055,2955606.148
LB-99582,CV7MW0267,Active,"JIAN HUNG, INC.",NEW MOON VILLA RESTAURANT,"In one room used for dining, separate kitchen, and storeroom in cellar.  "," JIAN HUNG, INC.", WEN JIAN LIN,(617)782-0368,15-19   Edinboro ST,Boston,775125.2367,2953607.226
LB-101980,RETAL0214,Active,"MADMAC PARTNERS, LLC",,IN ONE ROOM ON THE FIRST FLOOR; STORAGE IN THE REAR WITH THREE ENTRANCES/EXITS ONTO WORMWOOD STREET.," MADMAC PARTNERS, LLC", FRANCESCA DIRICO,,11-  Wormwood ST,Boston,777639.8452,2951881.938
LB-98895,CV7AL0008,Active,"M. COOKE, INC.",THE BOSTON SAIL LOFT,"Two emergency exits leading to alleyway; in one room, kitchen and exterior deck on the first floor; closet area for stock."," M. COOKE, INC.", JAMES R. TIPPING,(617)723-6722,80-  Atlantic AVE,Boston,777589.566,2957451.302
LB-99782,CV7MWL0130,Active,550 TREMONT LLC,B&G OYSTERS LTD,"IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR, STORAGE IN THE BASEMENT, TO INCLUDE A SEASONAL OUTDOOR PATIO FROM APRIL THROUGH OCTOBER ON PRIVATE PROPERTY FOR 22 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.", 550 TREMONT LLC, BARBARA LYNCH,(781)729-9348,550     Tremont ST,Roxbury,772071.9401,2950635.416
LB-98921,CV7AL0039,Active,"21ST, INC.",21ST. AMENDMENT,"In two rooms, kitchen and stockroom on the first floor"," 21ST, INC.", PETER MCCARTHY,(617)983-3412,150     Bowdoin ST,Boston,774392,2955910
LB-99586,CV7MW0275,Active,"OLIVES, INC.",FIGS,In one room and kitchen on the first floor; Storage in basement.," OLIVES, INC.", OLIVIA ENGLISH,,67-   Main ST,Charlestown,774415,2961490
LB-99727,CV7MWL0037,Active,"NWASH, LLC",TONY & ELAINE'S,"REAR AND SIDE EXITS, ONE ROOM FIRST FLOOR, ONE ROOM IN BASEMENT, KITCHEN STREET LEVEL, SECOND FLOOR FOR FLOOR, THIRD FLOOR FOR STORAGE."," NWASH, LLC", NICHOLAS ANTHONY FRATTAROLI,,111- N Washington ST,Boston,775581.0874,2958556.69
LB-98979,CV7AL0100,Active,"1732 CENTRE STREET,INC.",WEST,"UNNUMBERED ENTRANCE ON BELGRADE AVENUE AND ADDITIONAL ENTRANCE/EXITS ON CENTRE STREET IN 3 ROOMS AND KITCHEN ON 1ST FLOOR; IN 1 ROOM AND KITCHEN ON 1ST FLOOR; IN 1 ROOM & KITCHEN, PREP AREA & RESTROOMS IN BASEMENT W/ 2 EXITS AT REAR AND TO INCLUDE A SEASONAL OUTDOOR PATIO FROM APRIL - OCTOBER FOR 18"," 1732 CENTRE STREET,INC.",JOSEPH GREENE,(617)323-4199,1732-1736   Centre ST,West Roxbury,0,0
LB-99736,CV7MWL0052,Active,"PORTO BELLO, INC.",PORTO BELLO,"IN ONE ROOM ON THE FIRST FLOOR, KITCHEN AND STORAGE IN THE REAR."," PORTO BELLO, INC.", VINCENT F. AMATO,640-6718,672- E Broadway ,South Boston,781180.2309,2947732.953
LB-99012,CV7AL0141,Active,ALLSTON VENTURE FIVE INC.,THE AVENUE BAR & GRILL,"Two rooms and kitchen first floor and two rooms in basement, (one for patrons and one for stock).", ALLSTON VENTURE FIVE INC., DOUGLAS F. BACON,6175439400,1249-   Commonwealth AVE,Allston,755601.8615,2952859.866
LB-98961,CV7AL0082,Active,ROCK BOTTOM GROUP LLC,ROCK BOTTOM RESTAURANT & BREWERY & BREWERY,"115 STUART STREET/8 PARK PLAZA - IN ONE ROOM ON THE FIRST FLOOR CONSISTING A RESTAURANT, BAR LOUNGE AREA, A DINING AREA, KITCHEN AND STORAGE ON THE FIRST FLOOR; ALSO SEASONAL OUTDOOR PATIO WITH CAPACITY OF 40.  ", ROCK BOTTOM GROUP LLC, MARK LEVINE,(617)742-2739,115-   Stuart ST,Boston,773621,2953370
LB-99304,CV7AL0478,Active,"Broadway Restaurant, LLC",Loco Taqueria & Oyster Bar,," Broadway Restaurant, LLC", MICHAEL SHAW,,412-414 W Broadway ,South Boston,778458,2948170
LB-99115,CV7AL0261,Active,"WHO'S ON FIRST, INC.",,In one room in basement with kitchen; cellar for stock.," WHO'S ON FIRST, INC.", ROBERT PARATORE,(617)247-3353,21-  Jersey ST,Boston,764613.0013,2951406.337
LB-101862,RETAL0032,Active,563 BOYLSTON INC.,WHISKEY & WINE BACK BAY,In one room on the first floor with cellar for stock., 563 BOYLSTON INC., KRUPA PATEL,(781)932-0726,563     Boylston ST,Boston,770705.2606,2953100.866
LB-98891,CV7AL0004,Active,SEAPORT LIMITED PARTNERSHIP,SEAPORT SOCIAL,, SEAPORT SOCIAL LIMITED PARTNERSHIP, Jennifer E. Glover,,225-  Northern AVE,Boston,780856.9101,2952373.06
LB-99037,CV7AL0172,Active,"HAMACHI SERVERS, INC.",LOCAL 149,"IN ONE ROOM ON FIRST FLOOR, WITH KITCHEN IN REAR; MAIN ENTRANCE ON EAST SIXTH STREET AND EMERGENCY EXIT ON P STREET AND CELLAR FOR STOCK AND OFFICE. (MANAGEMENT AGREEMENT APPROVED BY BLB AND ABCC BETWEEN HAMACHI SERVERS, INC. AND HAMACHI LLC)."," HAMACHI SERVERS, INC.", ALEXANDER MICHAEL TAMARGO,(857)753-7218,823-831 E Sixth ST,South Boston,783973.7441,2946768.683
LB-99113,CV7AL0259,Active,"TIME OUT MARKET (BOSTON), LLC",TIME OUT MARKET,, TIME OUT MARKET (BOSTON) LLC, Michael Minichello,,401-  Park Dr,Boston,763519.3039,2950800.913
LB-99533,CV7MW0082,Active,"NEW WINGS KITCHEN, INC.",WINGS KITCHEN,In two rooms with one room on the first floor and one room on the basement level; kitchen and storage are in the back of the basement level. ," NEW WINGS KITCHEN, INC.", XIULING SITU,,13-   Hudson ST,Boston,775049.724,2953166.953
LB-99418,CV7AL0616,Active,"IRISH PUB, INC.",ERIE PUB,"REAR OF 791 ADAMS STREET,FOR STOCK; REAR ENTRANCE AND BULKHEAD TO CELLAR ON 795 ADAMS STREET FOR STOCK; IN ONE ROOM ON THE FIRST FLOOR, CELLAR FOR STOCK."," Irish Pub, Inc.", JOHN P. STENSON,6174360088,795-  Adams ST,Dorchester,776307.9204,2928523.705
LB-99729,CV7MWL0040,Active,"TERRAMIA, INC.",TERRAMIA,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN AND STORAGE IN REAR; ALSO A BASEMENT FOR STOCK.," TERRAMIA, INC.", CARLA GOMES,(781)821-3652,98-  Salem ST,Boston,776231.8706,2958003.229
LB-99732,CV7MWL0045,Active,"ANTICO FORNO, INC.",ANTICO FORNO,REAR ENTRANCE FOR STOCK AND EMERGENCY EXIT; IN ONE ROOM KITCHEN AND STOCKROOM ON THE FIRST FLOOR WITH A BAR FOR 8-10 PATRONS.," ANTICO FORNO, INC.", CARLA GOMES,,93-95   Salem ST,Boston,0,0
LB-99242,CV7AL0408,Active,"BOSTON ATHLETIC CLUB, INC.",BOSTON ATHELETIC CLUB,Unnumbered exits; in whole of said building.," BOSTON ATHLETIC CLUB, INC."," JOHN C. PAPPAS, III",(508)954-8525,653-   Summer ST,Boston,779574.5062,2949185.659
LB-101615,INNAL0003,Active,"HOJOKO, LLC",HOJOKO,"HOTEL ON THREE (3) FLOORS.  BASEMENT: KITCHEN AND STORAGE.  FIRST FLOOR: INDOOR DINING-RESTAURANT BAR AND LOUNGE AREA (+/-1,177 SF) WITH SEATING FOR SIXTY-NINE (69); ADDITIONAL DINING AREA (+/-777 SF) WITH SEATING FOR FORTY-FOUR (44).  OUTDOOR DINING-RESTAURANT EXTERIOR PATIO #1 (+/-2,900 SF) WITH"," HOJOKO, LLC", NANCY CUSHMAN,(617)512-4367,1271-1275  Boylston ST,Boston,765122.795,2951164.866
LB-101978,RETAL0210,Active,"R & G ENTERPRISES, INC.",SAGARINO'S,"In one room on the first floor, storage in the rear."," R & G ENTERPRISES, INC.", RICHARD K. GREER,(617)734-0693,106-  South ST,Boston,775873.7569,2953268.91
LB-101979,RETAL0213,Active,CARIBBEAN WINE AND SPIRITS,FOREST HILLS LIQUOR MARKET,IN ONE ROOM ON THE FIRST FLOOR; REAR ROOM AND CELLAR FOR STOCK., CARIBBEAN WINE AND SPIRITS, IRENE E. JOYEUX,6174277210,3694-   Washington ST,Jamaica Plain,760958,2934840
LB-102019,RETMW0030,Active,EMPORIO ANDUJAR CORPORATION,TODESCA'S MARKET,In one room on the first floor; basement for storage., EMPORIO ANDUJAR CORPORATION, MANUEL A. ANDUJAR,,4441-   Washington ST,Roslindale,755107.4252,2927577.63
LB-101906,RETAL0096,Active,"RODAN, INC.",BEACON CAPITOL MARKET,One room first floor and cellar for stock," RODAN, INC.", STUART GLENN EICOFF,,32-   Myrtle ST,Boston,773557.9308,2956229.621
LB-98795,CLBAL0023,Active,SOUTH BOSTON LITHUANIAN CITIZENS ASSOCIATION,,Rear door for stock; in whole of said building., SOUTH BOSTON LITHUANIAN CITIZENS ASSOCIATION, GINTARAS R. SUBATIS,(617)268-9058,368-372 W Broadway ,South Boston,778123.6144,2948492.817
LB-99054,CV7AL0190,Active,"J.J. FOLEY'S CAFE, INC.",J.J. FOLEY'S CAF,UNNUMBERED ENTRANCE ON FAY STREET; IN TWO ROOMS AND KITCHEN ON FIRST FLOOR; CELLAR FOR STOCK.," J.J. FOLEY'S CAFE, INC."," JEREMIAH F. FOLEY, JR.",(617)471-0598,111-123 E Berkeley ST,Boston,,
LB-99100,CV7AL0240,Active,"K.M.F. HOSPITALITY, INC.",,"IN TWO ROOMS AND KITCHEN ON FIRST FLOOR, CELLAR FOR STOCK.  ONE ROOM ON SECOND FLOOR, IN ONE ROOM ON GROUND FLOOR WITH BASEMENT FOR STORAGE."," K.M.F. HOSPITALITY, INC.", CHRISTINE M. FREEMAN,(617)451-7400,156-166   Milk ST,Boston,0,0
LB-99156,CV7AL0310,Active,"ONE HUNDRED SEVENTY THREE MILK ST.,INC.",COOGAN'S BLUFF,In three rooms and kitchen on first floor; basement for stock.," ONE HUNDRED SEVENTY THREE MILK ST.,INC.", BRENDAN GLYNN,(617)451-7400,171-173   Milk ST,Boston,776900.6008,2955898.855
LB-99281,CV7AL0451,Active,"BROUGHTON ENTERPRISES, INC.",THE MIDWAY CAF,"3496,3498 WASHINGTON STREET; EMERGENCY EXIT FROM REAR OF DINING ROOM; BULKHEAD ENTRANCE TO CELLAR FOR STOCK - ONE LARGE ROOM AND KITCHEN FIRST FLOOR; CELLAR FOR STOCK.  Capacity breakdown: 35 seated, 64 standing."," BROUGHTON ENTERPRISES, INC.", JAY A. BALERNA,(617)328-3886,3492-3498   Washington ST,Jamaica Plain,762357.6711,2936880.77
LB-99288,CV7AL0458,Active,"BRANNELLY'S CAFE, INC.",J.J. BRANNELLY'S,"4432, 4434A Washington St., rear entrance from yard for stock- Two rooms and kitchen first floor, cellar for stock- capacity 179 - an increase of 73 persons."," BRANNELLY'S CAFE, INC.", THOMAS BRANNELLY,(617)323-6700,4432-4434   Washington ST,Roslindale,0,0
LB-99289,CV7AL0459,Active,"PLEASANT, INC.",PLEASANT CAF,"4511, 4515, 4517, 4519 Washington St; rear exit at 4511 & 4515 Wash. St. & kit. exit at 4519 Wash. St; in 2 rms & kit. in the 1st fl; cellar for stock-with no increase in capacity"," PLEASANT, INC.", JOHN F. MORGAN,(617)323-2111,4511-4519   Washington ST,Roslindale,,
LB-99400,CV7AL0598,Active,TRAIF CORP.,MISTRAL,"In four rooms on the first floor with kitchen in the rear, storage on the mezzanine level.", TRAIF CORP., MARK D'ALESSANDRO,6177332393,221-   Columbus AVE,Boston,771678,2952220
LB-99536,CV7MW0092,Active,"OLIVES, INC.",FIGS,In one room and kitchen on the ground floor with basement for storage and emergency exit in rear.," OLIVES, INC.", CHRISTOPHER SPANN,(,42-   Charles ST,Boston,772336.1674,2955497.854
LB-99552,CV7MW0146,Active,"OCEAN TREASURE, INC.",DOUBLE CHIN,"Two rooms first floor and kitchen, basement for stock."," OCEAN TREASURE, INC.", EMILY CHIN,(617)669-0694,84-86   Harrison AVE,Boston,774739.3824,2953151.604
LB-99595,CV7MW0292,Active,ANTHONY OLIVIERO & LUIGI SODANO,II NIDO,"On ground floor, dining room, with kitchen, office and storage on lower level.  CAPACITY BREAKDOWN: BASEMENT - 40; 1ST FL - 40.", ANTHONY OLIVIERO & LUIGI SODANO, ANTHONY OLIVIERO,,257-259   North ST,Boston,777271.7867,2957866.08
LB-99602,CV7MW0330,Active,"NINO INDICIANI, INDIVIDUAL",NINO'S PIZZA,In one room on the first floor; kitchen and storage in the rear.," NINO INDICIANI, INDIVIDUAL", NINO  INDICIANI,(617)523-3974,79-   Charles ST,Boston,772273.2507,2955915.173
LB-99378,CV7AL0574,Active,"CALIFORNIA PIZZA KITCHEN,INC.",CALIFORNIA PIZZA KITCHEN,"800 Boylston St,Prudential Center #155; In one room on first floor, kitchen in rear, storage in basement. 175 patrons inside (168 seating, 7 standing), also, outdoor seasonal patio, for 26 patrons, which will close at 10:00 p.m."," CALIFORNIA PIZZA KITCHEN, INC.", Jose Grateraux,,800     Boylston ST,Boston,769309.8973,2951861.41
LB-101568,GOPAL0006,Active,"TREMONT THEATRE, INC.",SHUBERT THEATRE,In basement lobby; first floor; second floor and third floor lobbies; cellar for stock.," TREMONT THEATRE, INC."," JOSIAH A. SPAULDING, JR.",,265-  Tremont ST,Boston,773642.1924,2953006.679
LB-101901,RETAL0085,Active,"BLANCHARD'S WEST ROXBURY, INC.",BLANCHARD'S,"418 LAGRANGE STREET - TO INCLUDE AN ADJACENT 2-STORY ADDITION ON THE SOUTH SIDE OF THE LICENSED PREMISES - IN ONE LARGE ROOM ON THE FIRST FLOOR; CELLAR FOR STOCK AND FOUR ROOMS ON 2ND FLOOR 2 OFFICES, ONE CONFERENCE ROOM AND A KITCHENETTE."," BLANCHARD'S WEST ROXBURY, INC.", CHRISTINE C. ELDER,,418     Lagrange ST,West Roxbury,748565.3269,2927492.166
LB-101915,RETAL0112,Active,"ORIENT LIQUOR MART, INC.",WOODY'S LIQUORS,"THREE ROOMS FIRST FLOOR, CELLAR FOR STOCK.  "," ORIENT LIQUOR MART, INC.", JOHN G. WOOD,6177767191,1035-   Saratoga ST,East Boston,789826.105,2966072.212
LB-104345,TAVAL0014,Active,YONG SUN INC.,LIBERTY DINER,1003 Massachusetts Avenue and rear exit from kitchen - one room and kitchen first floor; cellar for stock., YONG SUN INC., YONG S. DOUCETTE,6174429262,1003-  Massachusetts AV,Roxbury,772920.3115,2944886.053
LB-98935,CV7AL0054,Active,BIG NIGHT VENUES BOSTON 3 LLC,VERSUS,"IN ONE ROOM ON 2ND FLOOR, KITCHEN, DINING AREA, AND BAR AREA, MAIN ENTRANCE AND EXIT TO PROVINCE STREET, TWO REAR EXITS ONE TO PROVINCE STREET, AND ONE TO ALLEY CELLAR FOR STOCK.", BIG NIGHT VENUES BOSTON 3 LLC, JAMES POLLOCK,(339)499-8617,44-  Province ST,Boston,775108.7917,2955385.208
