Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,Grant_Existing,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
Boston Public Library,Upham's Corner Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,Study Underway,Dorchester,"2,250,000","3,000,000","12,730,000", -   ,"33,097","26,903","150,000","17,770,000", -   , -   , -   , -   , -   ,"17,980,000"
Public Health Commission,Woods Mullen Shelter,"Replace elevator and relocate entryway to improve accessibility, security, and efficiency. Renovate bathrooms, showers, and increase bed space.",Public Facilities Department,In Construction,South End,"6,217,000", -   , -   ,"550,000","627,003","900,000","2,750,000","1,939,997", -   , -   ,"350,000","200,000", -   ,"6,767,000"
Boston Centers for Youth and Families,BCYF Hyde Park Community Center,Renovate interior spaces to provide community neighborhood-based healthcare services.,Public Facilities Department,To Be Scheduled,Hyde Park,"2,000,000", -   , -   , -   , -   , -   ,"200,000","1,800,000", -   , -   , -   , -   , -   ,"2,000,000"
Public Works Department,Sidewalk Repairs,Various brick sidewalk and pedestrian ramp repairs and reconstruction.,Public Works Department,To Be Scheduled,Various neighborhoods,"250,000", -   , -   , -   , -   , -   ,"125,000","125,000", -   , -   , -   , -   , -   ,"250,000"
Parks and Recreation Department,Winthrop Playground,"Design of comprehensive park renovation including play equipment, splash pad, stairs, lighting, basketball and tennis court.",Parks and Recreation Department,In Design,Roxbury,"500,000","1,900,000", -   , -   , -   ,"50,000","1,500,000","850,000", -   , -   ,"400,000", -   , -   ,"2,800,000"
Boston Public Schools,ARP 2021 at 4 Schools,Replace windows and doors at Boston Day and Evening Academy and  the Hernandez School. Replace boiler at the Russell School and Henderson Upper School.,Public Facilities Department,To Be Scheduled,Various neighborhoods,"840,000", -   , -   ,"360,000", -   , -   ,"250,000","590,000", -   , -   ,"100,000","260,000", -   ,"1,200,000"
Transportation Department,Blue Hill Avenue Multimodal Corridor,"On Blue Hill Avenue, the creation of center-running dedicated bus lanes, redesigned Mattapan Square for improved bus connection to the MBTA station, protected bike lanes, signal changes, and sidewalks.",Public Works Department,New Project,Various neighborhoods, -   ,"18,224,000", -   , -   , -   , -   ,"500,000","17,724,000", -   , -   , -   ,"15,000,000","6,232,000","39,456,000"
Boston Public Schools,Mattahunt Air Handling Unit,Replace air handling unit.,Boston Public Schools,New Project,Mattapan,"491,850", -   , -   , -   , -   , -   ,"491,850", -   , -   , -   , -   , -   , -   ,"491,850"
Property Management Department,43 Hawkins Street,Roof replacement and exterior envelope repairs.,Public Facilities Department,In Design,Government Center/Faneuil Hall,"5,000,000", -   , -   , -   , -   ,"40,000","160,000","4,800,000", -   , -   , -   , -   , -   ,"5,000,000"
Boston Centers for Youth and Families,Youth Budget Round 10,"Engage youth across the City to create a capital ""Youth Budget"", using participatory budgeting methods.",Youth Engagement and Employment,New Project,Citywide, -   ,"1,000,000", -   , -   , -   , -   , -   ,"1,000,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Public Library,Egleston Square Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,New Project,Roxbury, -   ,"3,000,000","19,000,000", -   , -   , -   ,"500,000","21,500,000", -   , -   , -   , -   , -   ,"22,000,000"
Boston Public Library,West End Branch Library,Design and construct a new branch library. Develop a building program that reflects the Boston Public Library's Compass Principles and supports the needs of the neighborhood.,Public Facilities Department,New Project,West End, -   ,"3,000,000", -   , -   , -   , -   ,"100,000","2,900,000", -   , -   , -   , -   , -   ,"3,000,000"
Boston Public Library,Connolly Branch Library,"Upgrade and replace mechanical systems, windows, roof, and waterproof faade. Assess space programming.",Public Facilities Department,New Project,Jamaica Plain, -   ,"575,000", -   , -   , -   , -   ,"150,000","425,000", -   , -   , -   , -   , -   ,"575,000"
Boston Public Library,Hyde Park Branch Library,"Upgrade boiler, windows, roof and faade repairs. Assess space programming.",Public Facilities Department,New Project,Hyde Park, -   ,"500,000", -   , -   , -   , -   ,"150,000","350,000", -   , -   , -   , -   , -   ,"500,000"
Mayor's Office of Housing,Mildred C. Hailey Phase 1 Redevelopment,The project will consist of a total of ~690 apartments which will include the 1-to-1 replacement of the existing 253 public housing units and the construction of ~435 new affordable and upper middle-income apartments.,Boston Housing Authority,New Project,Jamaica Plain, -   ,"10,000,000", -   , -   , -   , -   ,"3,000,000","7,000,000", -   , -   , -   , -   , -   ,"10,000,000"
Mayor's Office of Housing,Mary Ellen McCormack Redevelopment,"Phase One comprises 1,365 units of new mixed-income housing (572 of which affordable replacement units), 69,000 sq. ft. of community and retail space, 2.3 acres of open space, and approx. 520 parking spaces.",Boston Housing Authority,New Project,South Boston, -   ,"10,000,000", -   , -   , -   , -   ,"2,000,000","8,000,000", -   , -   , -   , -   , -   ,"10,000,000"
Mayor's Office of Housing,Mildred C. Hailey Preservation,"Renovate existing BHA housing units including  plumbing, ventilation, windows and other building repairs.",Boston Housing Authority,New Project,Jamaica Plain, -   ,"52,000,000", -   , -   , -   , -   ,"17,000,000","35,000,000", -   , -   , -   , -   , -   ,"52,000,000"
Public Health Commission,Northampton Square Garage,Structural and other repairs as needed.,Public Facilities Department,New Project,Roxbury, -   ,"400,000", -   , -   , -   , -   ,"200,000","200,000", -   , -   , -   , -   , -   ,"400,000"
Public Health Commission,201 River Street HVAC,"Upgrade HVAC for improved heating, cooling, and ventilation systems.",Public Facilities Department,New Project,Mattapan, -   ,"4,850,000", -   , -   , -   , -   ,"200,000","4,650,000", -   , -   , -   , -   , -   ,"4,850,000"
Boston Centers for Youth and Families,BCYF Tobin Community Center Accessibility,Design wheelchair accessible entrance and other improvements including lighting.,Public Facilities Department,New Project,Mission Hill, -   ,"250,000", -   , -   , -   , -   ,"100,000","150,000", -   , -   , -   , -   , -   ,"250,000"
Parks and Recreation Department,O'Day Playground,"Renovate park including play lots, water play, basketball court, and plaza area.",Parks and Recreation Department,New Project,South End, -   ,"400,000","1,830,000", -   , -   , -   ,"150,000","2,080,000", -   , -   , -   , -   , -   ,"2,230,000"
Parks and Recreation Department,Byrne Playground,"Renovate park including play lots, courts, and passive areas.",Parks and Recreation Department,New Project,Dorchester, -   ,"400,000","1,970,000", -   , -   , -   ,"150,000","2,220,000", -   , -   , -   , -   , -   ,"2,370,000"
Parks and Recreation Department,Geneva Cliffs Urban Wild,"Reprogram Geneva Cliffs from an Urban Wild to a city park with playground, passive seating, walking paths, and accessible entrances.",Parks and Recreation Department,New Project,Roxbury, -   ,"400,000","1,600,000", -   , -   , -   ,"150,000","1,850,000", -   , -   , -   , -   , -   ,"2,000,000"
Parks and Recreation Department,Clifford Playground,Develop design for a comprehensive park renovation.,Parks and Recreation Department,New Project,Roxbury, -   ,"600,000", -   , -   , -   , -   ,"300,000","300,000", -   , -   , -   , -   , -   ,"600,000"
Parks and Recreation Department,Roslindale Wetlands Phase 2,Complete trailhead improvements and wetland restoration of the entire site following in the work of Phase 1.,Parks and Recreation Department,New Project,Roslindale, -   ,"300,000", -   , -   , -   , -   ,"150,000","150,000", -   , -   , -   , -   , -   ,"300,000"
Parks and Recreation Department,Mount Hope Cemetery Paving Improvements,Survey and design to prioritize roadway and landscape improvements at Mt. Hope Cemetery.,Parks and Recreation Department,New Project,Mattapan, -   ,"300,000", -   , -   , -   , -   ,"75,000","225,000", -   , -   , -   , -   , -   ,"300,000"
Parks and Recreation Department,Hardiman Playground,Develop design for a complete renovation of the play area.,Parks and Recreation Department,New Project,Allston/Brighton, -   ,"100,000", -   , -   , -   , -   ,"50,000","50,000", -   , -   , -   , -   , -   ,"100,000"
Parks and Recreation Department,Millennium Park Restroom Building,Design and construct permanent bathroom facilities for the park.,Public Facilities Department,New Project,West Roxbury, -   ,"250,000", -   , -   , -   , -   ,"100,000","150,000", -   , -   , -   , -   , -   ,"250,000"
Parks and Recreation Department,Franklin Park Bear Dens,Repairs and other improvements necessary to secure and provide safe and compliant public access to the Bear Dens area of Franklin Park.,Parks and Recreation Department,New Project,Roxbury, -   ,"900,000", -   , -   , -   , -   ,"100,000","800,000", -   , -   , -   , -   , -   ,"900,000"
Parks and Recreation Department,Ryan Playground Field House,"Design repairs to the fieldhouse including foundations repairs and waterproofing, updating electrical, new roof, and replace windows and doors.",Public Facilities Department,New Project,Charlestown, -   ,"75,000", -   , -   , -   , -   ,"75,000", -   , -   , -   , -   , -   , -   ,"75,000"
Parks and Recreation Department,Watson Park,Develop design plans for a set of passive parks.,Parks and Recreation Department,New Project,South End, -   ,"45,000", -   , -   , -   , -   ,"45,000", -   , -   , -   , -   , -   , -   ,"45,000"
Parks and Recreation Department,Franklin Park White Stadium,"Develop designs for converting the field to artificial turf, track improvements, and other site work outside the stadium to better integrate the facility into the Franklin Park environment.",Parks and Recreation Department,New Project,Roxbury, -   ,"500,000", -   , -   , -   , -   ,"100,000","400,000", -   , -   , -   , -   , -   ,"500,000"
Parks and Recreation Department,Dog Recreation Areas at Various Parks,Expand dog recreation facilities throughout the City.,Parks and Recreation Department,New Program,Citywide, -   ,"500,000", -   , -   , -   , -   ,"250,000","250,000", -   , -   , -   , -   , -   ,"500,000"
Office of Arts & Culture,Chinatown Worker Statues Project,"Design, fabricate, and install four bronze figures on four separate sites in the Chinatown neighborhood of Boston.",Office of Arts and Culture,New Project,Chinatown, -   ,"1,000,000", -   , -   , -   , -   ,"100,000","900,000", -   , -   , -   , -   , -   ,"1,000,000"
Office of Arts & Culture,Art Signage Upgrades,"Design, fabricate, and install custom interpretative signage for numerous artworks across the City.",Office of Arts and Culture,New Project,Citywide, -   ,"100,000", -   , -   , -   , -   ,"50,000","50,000", -   , -   , -   , -   , -   ,"100,000"
Office of Arts & Culture,Park Plaza Monument/Memorial,"Select an artist who will design, manage the fabrication and the installation of a new artwork to be installed on the site formally occupied by the Emancipation Group statue in Park Plaza.",Office of Arts and Culture,New Project,Bay Village, -   ,"500,000", -   , -   , -   , -   ,"50,000","450,000", -   , -   , -   , -   , -   ,"500,000"
Office of Arts & Culture,Emergent Memory (Cocoanut Grove Memorial)," Design, fabrication, site preparation, and installation of public art in Statler Park.",Office of Arts and Culture,New Project,Bay Village, -   ,"305,000", -   , -   , -   , -   ,"50,000","255,000", -   , -   , -   , -   ,"145,000","450,000"
Environment Department,Climate Ready Streets,"Plan, design, and construct infrastructure in areas on and adjacent to public streets that reduce storm water flooding, protect residents from extreme heat, and improve air quality. Program will target transit corridors with on-going capital projects.",Environment Department,New Project,Citywide, -   ,"2,500,000", -   , -   , -   , -   ,"500,000","2,000,000", -   , -   , -   , -   , -   ,"2,500,000"
Environment Department,Urban Wilds Land Management Plan,"Develop an Urban Wilds conservation and land management plan to establish criteria to prioritize future capital renovations, land acquisition, and management priorities for existing properties.",Environment Department,New Project,Citywide, -   ,"350,000", -   , -   , -   , -   ,"100,000","250,000", -   , -   , -   , -   , -   ,"350,000"
Property Management Department,Faneuil Hall and Sam Adams Park,"Repair masonry, address drainage issues and create an accessible walkway. Install permanent decorative wrought iron gates around the basement windows and restore the bronze fixtures.",Public Facilities Department,New Project,Financial District/Downtown, -   ,"400,000", -   , -   , -   , -   ,"100,000","300,000", -   , -   , -   , -   , -   ,"400,000"
Property Management Department,Veronica Smith Senior Center,Replace HVAC system.,Public Facilities Department,New Project,Allston/Brighton, -   ,"400,000", -   , -   , -   , -   ,"100,000","300,000", -   , -   , -   , -   , -   ,"400,000"
Property Management Department,1010 Massachusetts Avenue,Programming study and building assessment of 1010 Mass. Ave.,Public Facilities Department,New Project,Roxbury, -   ,"500,000", -   , -   , -   , -   ,"100,000","400,000", -   , -   , -   , -   , -   ,"500,000"
Boston Public Schools,West Roxbury Education Complex Study,Study to rebuild the WR Education Complex as a comprehensive 7-12 school.,Public Facilities Department,New Project,West Roxbury, -   ,"150,000", -   , -   , -   , -   ,"150,000", -   , -   , -   , -   , -   , -   ,"150,000"
Boston Public Schools,White Stadium Study,"Assess stadium facility including east and west stands, playing field, and track. Develop preliminary designs and cost estimates.  ",Public Facilities Department,New Project,Roxbury, -   ,"500,000", -   , -   , -   , -   ,"175,000","325,000", -   , -   , -   , -   , -   ,"500,000"
Boston Public Schools,McKinley School Study,Space programming study to determine requirements for all three McKinley School sites.,Public Facilities Department,New Project,South End, -   ,"175,000", -   , -   , -   , -   ,"175,000", -   , -   , -   , -   , -   , -   ,"175,000"
Boston Public Schools,Masonry Repairs at Various Schools,Repair school building masonry at schools across the district.,Boston Public Schools,New Project,Various neighborhoods, -   ,"10,000,000", -   , -   , -   , -   ,"2,500,000","7,500,000", -   , -   , -   , -   , -   ,"10,000,000"
Boston Public Schools,Bates School Boilers,Replace the boilers at Bates Elementary.,Public Facilities Department,New Project,Roslindale, -   ,"1,000,000", -   , -   , -   , -   ,"500,000","500,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Public Schools,Dudley Street NCS HVAC,Upgrade the HVAC at the Dudley Street Neighborhood Charter School.,Public Facilities Department,New Project,Roxbury, -   ,"513,000", -   , -   , -   , -   ,"75,000","438,000", -   , -   , -   , -   , -   ,"513,000"
Boston Public Schools,Condon School Lighting Improvements,Upgrade lighting at Condon Elementary.,Public Facilities Department,New Project,South Boston, -   ,"500,000", -   , -   , -   , -   ,"250,000","250,000", -   , -   , -   , -   , -   ,"500,000"
Boston Public Schools,Warren-Prescott School Lighting Improvements,Upgrade lighting at the Warren-Prescott.,Public Facilities Department,New Project,Charlestown, -   ,"300,000", -   , -   , -   , -   ,"150,000","150,000", -   , -   , -   , -   , -   ,"300,000"
Boston Public Schools,John F. Kennedy School Fire Alarms,Repair and upgrade the fire alarm system.,Public Facilities Department,New Project,Jamaica Plain, -   ,"705,000", -   , -   , -   , -   ,"250,000","455,000", -   , -   , -   , -   , -   ,"705,000"
Boston Public Schools,CASH School Roof,Repair the roof and the building exterior.,Public Facilities Department,New Project,Dorchester, -   ,"2,150,000", -   , -   , -   , -   ,"500,000","1,650,000", -   , -   , -   , -   , -   ,"2,150,000"
Boston Public Schools,Winthrop School Roof,Replace the roof.,Public Facilities Department,New Project,Dorchester, -   ,"1,700,000", -   , -   , -   , -   ,"500,000","1,200,000", -   , -   , -   , -   , -   ,"1,700,000"
Boston Public Schools,Mendell School Roof,Replace the roof.,Boston Public Schools,New Project,Roxbury, -   ,"50,000", -   , -   , -   , -   ,"50,000", -   , -   , -   , -   , -   , -   ,"50,000"
Boston Public Schools,Holmes School Plumbing,Replace and repair the plumbing.,Public Facilities Department,New Project,Dorchester, -   ,"288,000", -   , -   , -   , -   ,"50,000","238,000", -   , -   , -   , -   , -   ,"288,000"
Boston Public Schools,Library Improvements at Various Schools,Upgrade school libraries across the district. ,Boston Public Schools,New Project,Various neighborhoods, -   ,"3,000,000", -   , -   , -   , -   ,"2,000,000","1,000,000", -   , -   , -   , -   , -   ,"3,000,000"
Boston Public Schools,Science Room Upgrades at Various Schools,Upgrade science rooms at schools across the district. ,Boston Public Schools,New Project,Various neighborhoods, -   ,"3,000,000", -   , -   , -   , -   ,"2,000,000","1,000,000", -   , -   , -   , -   , -   ,"3,000,000"
Boston Public Schools,Art Room Upgrades at Various Schools,Upgrade art rooms at various schools across the district.,Boston Public Schools,New Project,Various neighborhoods, -   ,"500,000", -   , -   , -   , -   ,"150,000","350,000", -   , -   , -   , -   , -   ,"500,000"
Police Department,"Window Replacment at District C-6, C-11 , and E-18","Replace windows at District stations C6, C11 and E18.",Public Facilities Department,New Project,Various neighborhoods, -   ,"1,100,000", -   , -   , -   , -   ,"250,000","850,000", -   , -   , -   , -   , -   ,"1,100,000"
Police Department,Roofs at  District C-11 and E-13,Replace roofs at District C11 and District E13.,Public Facilities Department,New Project,Various neighborhoods, -   ,"1,600,000", -   , -   , -   , -   ,"300,000","1,300,000", -   , -   , -   , -   , -   ,"1,600,000"
Police Department,Crime Lab Study,Programming study to evaluate space program requirements for the City's crime lab.,Police Department,New Project,Various neighborhoods, -   ,"100,000", -   , -   , -   , -   ,"25,000","75,000", -   , -   , -   , -   , -   ,"100,000"
Police Department,Computer Aided Dispatch  System Upgrade,CAD upgrades to match the RMS system replacement and allow for interoperability between CAD and RMS.,Police Department,New Project,N/A, -   ,"3,301,000", -   , -   , -   , -   ,"1,500,000","1,801,000", -   , -   , -   , -   , -   ,"3,301,000"
Fire Department,Fire Equipment FY23,"Purchase new fire apparatus, including 3 Engines and 2 Ladders for FY23.",Fire Department,New Project,N/A,"3,500,000", -   , -   , -   , -   , -   ,"3,500,000", -   , -   , -   , -   , -   , -   ,"3,500,000"
Fire Department,Fire Boat,"Replace the ""Damrell"", the department's current 70 foot fire boat.",Fire Department,New Project,N/A, -   ,"5,000,000", -   , -   , -   , -   , -   ,"5,000,000", -   , -   , -   , -   , -   ,"5,000,000"
Fire Department,Dive Boat,Replace the department's current dive boat.,Fire Department,New Project,N/A, -   ,"1,700,000", -   , -   , -   , -   , -   ,"1,700,000", -   , -   , -   , -   , -   ,"1,700,000"
Fire Department,Special Operations Command,Programming and design for a new Special Operations Command facility.,Public Facilities Department,New Project,N/A, -   ,"3,000,000", -   , -   , -   , -   , -   ,"3,000,000", -   , -   , -   , -   , -   ,"3,000,000"
Boston Planning and Development Agency,Pier 10 Park Ferry Terminal,Develop design plans to create a ferry service from Pier 10 to North Station for more reliable transit services in the Marine Park.,Boston Planning and Development Agency,New Project,South Boston, -   ,"500,000", -   , -   , -   , -   ,"50,000","450,000", -   , -   , -   , -   , -   ,"500,000"
Boston Planning and Development Agency,Little Mystic Open Space / Harborwalk,Extend Harborwalk along the edge of Little Mystic Channel on property owned by the BPDA. City funds will be used to complete the design. The Harborwalk extension will connect with the new Chelsea Street crossing to the Charlestown Navy Yard.,Boston Planning and Development Agency,New Project,Charlestown, -   ,"1,000,000", -   , -   , -   , -   ,"100,000","900,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Planning and Development Agency,Fort Point Channel Resilient Infrastructure,Develop design plans for a proposed green infrastructure project that will help reduce flood damage in Fort Point and adjacent neighborhoods.,Boston Planning and Development Agency,New Project,South Boston, -   ,"425,000", -   , -   , -   , -   ,"50,000","375,000", -   , -   , -   , -   , -   ,"425,000"
Transportation Department,Southwest Neighborhood Transit Action Plan,Study and develop a Transportation Action Plan for the southwest neighborhoods of Boston,Transportation Department,New Project,Various neighborhoods, -   ,"1,200,000", -   , -   , -   , -   ,"250,000","950,000", -   , -   , -   , -   , -   ,"1,200,000"
Transportation Department,Fairmount Line Urban Rail Study,Commission a technical analysis on transforming the Fairmount Commuter Rail Line to a subway-like service level,Transportation Department,New Project,Various neighborhoods, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"75,000","425,000", -   ,"500,000"
Transportation Department,Safe Routes to Schools,Provide ROW services to support a MassDOT funded SRTS project in the vicinity of the David Ellis School in Roxbury,Transportation Department,New Project,Citywide, -   ,"100,000", -   , -   , -   , -   ,"100,000", -   , -   , -   , -   , -   , -   ,"100,000"
Transportation Department,Norwell Street Square,Develop dead-end section of Park Street into a plaza in conjunction with the development of a park in the adjacent lots.,Parks Dept,New Project,Dorchester, -   ,"140,000", -   , -   , -   , -   ,"140,000", -   , -   , -   , -   , -   , -   ,"140,000"
Public Works Department,Fleet Electrification Building Assessment,Conduct a building assessment to determine what infrastructure is needed for fleet electrification,Public Facilities Department,New Project,Citywide, -   ,"250,000", -   , -   , -   , -   ,"250,000", -   , -   , -   , -   , -   , -   ,"250,000"
Public Works Department,Street Lighting Maintenance Facility,A study to determine a location for a permanent public works street lighting facility,Public Facilities Department,New Project,N/A,"2,500,000", -   , -   , -   , -   , -   ,"250,000","2,250,000", -   , -   , -   , -   , -   ,"2,500,000"
Public Works Department,Street Lighting Infrastructure Upgrades,Replacement of street lighting infrastructure to promote safety and wellbeing,Public Works Department,New Project,Citywide, -   ,"4,550,000", -   , -   , -   , -   ,"2,500,000","2,050,000", -   , -   , -   , -   , -   ,"4,550,000"
Public Works Department,Inventory Management Program ,Purchase and implement an inventory management system for street lighting tools and supplies.,Public Works Department,New Project,N/A, -   ,"750,000", -   , -   , -   , -   ,"250,000","500,000", -   , -   , -   , -   , -   ,"750,000"
Public Works Department,Central Maintenance Facility Complex,"Continued renovations to the building, garage, and grounds.",Public Facilities Department,In Construction,South End,"3,800,000", -   , -   , -   , -   , -   ,"2,000,000","1,800,000", -   , -   , -   , -   , -   ,"3,800,000"
Boston Public Schools,Patrick J. Kennedy School,"Replace boilers, install new fire sprinklers, and a new elevator to make the school building more accessible.",Public Facilities Department,In Design,East Boston,"2,530,000","13,670,000", -   , -   , -   ,"600,000","3,000,000","12,600,000", -   , -   , -   , -   , -   ,"16,200,000"
Parks and Recreation Department,Open Space Acquisition,Acquire property suitable for preservation and use as public open space.,Parks and Recreation Department,New Project,Citywide, -   ,"10,000,000", -   , -   , -   , -   ,"2,500,000","7,500,000", -   , -   , -   , -   , -   ,"10,000,000"
Boston Public Schools,Timilty School Reconfiguration,Upgrade building facilities at the Timilty School to facilitate grade reconfiguration.,Public Facilities Department,New Project,Roxbury,"3,000,000", -   , -   , -   , -   , -   ,"1,500,000","1,500,000", -   , -   , -   , -   , -   ,"3,000,000"
Department of Innovation and Technology,FY23 Investment Proposals,Identify and procure IT solutions for City departments.,DoIT,New Project,N/A, -   ,"500,000", -   , -   , -   , -   ,"250,000","250,000", -   , -   , -   , -   , -   ,"500,000"
Boston Centers for Youth and Families,Dorchester Community Center,Design a new community center based on the recent programming study.,Public Facilities Department,New Project,Dorchester, -   ,"4,000,000", -   , -   , -   , -   ,"200,000","3,800,000", -   , -   , -   , -   , -   ,"4,000,000"
Parks and Recreation Department,Court Renovations,"Annual program to rehabilitate tennis, basketball, and street hockey courts citywide.  ",Parks and Recreation Department,Annual Program,Citywide,"2,375,000", -   , -   , -   , -   , -   ,"800,000","1,575,000", -   , -   , -   , -   , -   ,"2,375,000"
Parks and Recreation Department,George Wright Golf Course,"Ongoing improvements including drainage, paving, and other miscellaneous items.",Parks and Recreation Department,Annual Program,Hyde Park,"500,000","500,000", -   , -   , -   , -   ,"500,000","500,000", -   , -   , -   , -   , -   ,"1,000,000"
Parks and Recreation Department,Historic Cemeteries,Ongoing program of repairs in designated historic cemeteries located throughout the City.,Parks and Recreation Department,Annual Program,Citywide,"1,000,000", -   ,"500,000", -   , -   , -   ,"400,000","1,100,000", -   , -   , -   , -   , -   ,"1,500,000"
Parks and Recreation Department,Public Garden Lagoon,"Repair and backfill missing, destroyed, and leaking granite coping surrounding the lagoon.",Parks and Recreation Department,Annual Program,Beacon Hill,"965,000","835,000", -   , -   , -   , -   ,"300,000","1,500,000", -   , -   , -   , -   , -   ,"1,800,000"
Parks and Recreation Department,Street Tree Planting,Ongoing program of street tree planting throughout the City.,Parks and Recreation Department,Annual Program,Citywide,"2,300,000","2,500,000","2,700,000", -   , -   , -   ,"2,300,000","5,200,000", -   , -   , -   , -   , -   ,"7,500,000"
Parks and Recreation Department,Urban Wilds,"Renovate walls, walkways, and signage within urban wilds owned by the Environment Department and the Parks and Recreation Department.",Parks and Recreation Department,Annual Program,Citywide,"800,000", -   ,"1,200,000", -   , -   , -   ,"400,000","1,600,000", -   , -   , -   , -   , -   ,"2,000,000"
Parks and Recreation Department,William Devine Golf Course,"Improve drainage, paving, and other miscellaneous items.",Parks and Recreation Department,Annual Program,Roxbury, -   ,"1,000,000", -   , -   , -   , -   ,"500,000","500,000", -   , -   , -   , -   , -   ,"1,000,000"
Public Works Department,Street Lighting Installation,Installation of street lights in various locations.,Public Works Department,Annual Program,Citywide,"1,380,000","4,620,000","3,000,000", -   , -   , -   ,"3,000,000","6,000,000", -   , -   , -   , -   , -   ,"9,000,000"
Public Works Department,Walkable Streets,"Sidewalk improvement program designed to target key neighborhood streets and corridors by reconstructing longer, contiguous sidewalk sections.",Public Works Department,Annual Program,Various Neighborhoods,"2,355,000","3,405,000", -   , -   , -   , -   ,"3,500,000","2,260,000", -   , -   , -   , -   , -   ,"5,760,000"
Public Works Department,Roadway Reconstruction and Resurfacing,"Includes road reconstruction, roadway resurfacing, sidewalk reconstruction, and traffic signal replacement where appropriate.",Public Works Department,Annual Program,Citywide,"13,400,000","7,400,000","7,000,000","7,000,000", -   , -   ,"7,000,000","20,800,000", -   , -   ,"11,000,000","29,000,000", -   ,"67,800,000"
Transportation Department,Transportation Planning,"Develop and test new mobility strategies that pertain to transportation demand management, electric vehicles, and neighborhood mobility hubs.",Transportation Department,Annual Program,Citywide,"915,000","1,000,000", -   , -   , -   , -   ,"600,000","1,315,000", -   , -   , -   , -   , -   ,"1,915,000"
Transportation Department,Traffic Signals,"Provide traffic signal design services, install or upgrade existing traffic signals and controls, install new control boxes and battery backup equipment.",Transportation Department,Annual Program,Citywide, -   ,"3,500,000","7,000,000", -   , -   , -   ,"3,000,000","7,500,000", -   , -   , -   , -   , -   ,"10,500,000"
Transportation Department,Crosswalks and Lane Markings,Provide additional crosswalk and lane markings.,Transportation Department,Annual Program,Citywide, -   , -   , -   ,"4,500,000", -   , -   , -   , -   , -   , -   ,"1,500,000","3,000,000", -   ,"4,500,000"
Transportation Department,Accessible Pedestrian Signals,"Purchase and install APS devices for new construction, major reconstructions, and by request as outlined in the City's response to the federal mandate.",Transportation Department,Annual Program,Citywide, -   ,"1,500,000", -   , -   , -   , -   ,"350,000","1,150,000", -   , -   , -   , -   , -   ,"1,500,000"
Boston Public Schools,Technology Infrastructure,Upgrades to technology infrastructure in support of 21st century learning.,Boston Public Schools,Annual Program,Citywide,"3,500,000","3,500,000","7,000,000", -   , -   , -   ,"3,500,000","10,500,000", -   , -   , -   , -   , -   ,"14,000,000"
Parks and Recreation Department,Moakley Park O&M Building,Design a new operations and maintenance building as part of Phase 1 park improvements.,Public Facilities Department,New Project,South Boston, -   ,"1,000,000", -   , -   , -   , -   ,"400,000","600,000", -   , -   , -   , -   , -   ,"1,000,000"
Boston Public Schools,Allston Elementary School  Study,Develop a building program for the design and construction of a new K-6 school to be located on the site of the Jackson Mann School.,Public Facilities Department,New Project,Allston/Brighton, -   ,"150,000", -   , -   , -   , -   ,"75,000","75,000", -   , -   , -   , -   , -   ,"150,000"
Boston Public Schools,Horace Mann School Siting Study,Study that will evaluate locations for the permanent siting of the Horace Mann School for the Deaf and Hard of Hearing.,Public Facilities Department,New Project,N/A, -   ,"150,000", -   , -   , -   , -   ,"75,000","75,000", -   , -   , -   , -   , -   ,"150,000"
Boston Public Schools,Dorchester Elementary School Study,Develop a building program for the design and construction of a new K-6 school.,Public Facilities Department,New Project,Dorchester, -   ,"150,000", -   , -   , -   , -   ,"75,000","75,000", -   , -   , -   , -   , -   ,"150,000"
Boston Public Schools,Roxbury Elementary School Study,Develop a building program for the design and construction of a new K-6 school.,Public Facilities Department,New Project,Roxbury, -   ,"150,000", -   , -   , -   , -   ,"75,000","75,000", -   , -   , -   , -   , -   ,"150,000"
Parks and Recreation Department,Building Assessment at Active Cemeteries,Assess conditions and develop repair plan for buildings in the City's three active cemeteries.,Public Facilities Department,New Project,Various Neighborhoods, -   ,"200,000", -   , -   , -   , -   ,"60,000","140,000", -   , -   , -   , -   , -   ,"200,000"
Boston Centers for Youth and Families,Facilities Assessment Study,Review and assess all Community Centers and identify areas in which services and environments can be enhanced. Create a strategic improvement plan based on the results.,Public Facilities Department,New Project,Citywide, -   ,"500,000", -   , -   , -   , -   ,"100,000","400,000", -   , -   , -   , -   , -   ,"500,000"
