,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget,total
338,Transportation Department,Southwest Corridor Bike Path Extension,"Advance planning and design for a Go Boston 2030 priority project that would extend the Southwest Corridor, via on-street bike facilities, to connect with major destinations in Downtown and Beacon Hill.",Transportation Department,In Design,Various neighborhoods,0,0,0,250000,0,0,0,0,0,0,0,100000,150000,0,0,250000,750000
339,Transportation Department,JFK/UMASS Station,Study improvements and create a transportation action plan for the MBTA's JFK/UMass Station area.,Transportation Department,To Be Scheduled,Dorchester,0,0,0,250000,0,0,0,0,0,0,0,0,50000,200000,0,250000,750000
340,Office of Arts & Culture,Strand Theater,Study to assess capital needs at the Strand Theater.,Public Facilities Department,To Be Scheduled,Dorchester,250000,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,250000,750000
341,Public Works Department,Fleet Electrification Building Assessment,Conduct a building assessment to determine what infrastructure is needed for fleet electrification,Public Facilities Department,New Project,Citywide,0,250000,0,0,0,0,0,0,250000,0,0,0,0,0,0,250000,750000
342,Parks and Recreation Department,Commonwealth Avenue Mall: Kenmore Block,"Design for improvements to pathways, site furnishings, utilities, storm water infrastructure, irrigation, and plantings.",Parks and Recreation Department,To Be Scheduled,Fenway/Kenmore,250000,0,0,0,0,0,0,0,50000,200000,0,0,0,0,0,250000,750000
343,Public Health Commission,Northampton Square Electrical Improvements,Implement electrical upgrades at Northampton Square including separation of the Miranda Creamer Low Rise electrical service from the High Rise.,Public Facilities Department,In Design,Roxbury,201000,0,0,0,0,0,0,20000,181000,0,0,0,0,0,0,201000,603000
344,Public Works Department,Hyde Park Avenue Median,Extend median on Hyde Park Avenue at Neponset Avenue and Florian Street to make the temporary closures permanent.,Public Works Department,New Project,Dorchester,0,200000,0,0,0,0,0,0,100000,100000,0,0,0,0,0,200000,600000
345,Parks and Recreation Department,Building Assessment at Active Cemeteries,Assess conditions and develop repair plan for buildings in the City's three active cemeteries.,Public Facilities Department,New Project,Various Neighborhoods,0,200000,0,0,0,0,0,0,60000,140000,0,0,0,0,0,200000,600000
346,Boston Public Library,Research Collections Preservation and Storage Plan,"A planning study for the storage, preservation and security of the BPL's research collections.",Boston Public Library,Study Underway,Citywide,200000,0,0,0,0,0,0,0,160000,40000,0,0,0,0,0,200000,600000
347,Office of New Urban Mechanics,Innovation Fund,"Work across departments to deploy innovative improvements on streets, online, and in schools using technology and cutting edge design.",Office of New Urban Mechanics,Implementation Underway,Various neighborhoods,200000,0,0,0,0,0,0,0,50000,150000,0,0,0,0,0,200000,600000
348,Boston Centers for Youth and Families,BCYF Community Center Program Studies,Develop building programs and assess siting options for new community centers in Dorchester and Charlestown.,Public Facilities Department,Study Underway,Various neighborhoods,200000,0,0,0,0,0,54892,120108,25000,0,0,0,0,0,0,200000,600000
349,Boston Public Schools,Dever School and McCormack School Open Space Study,Study to determine outdoor improvements at the Dever School and McCormack School.,Boston Public Schools,To Be Scheduled,Dorchester,200000,0,0,0,0,0,0,50000,150000,0,0,0,0,0,0,200000,600000
350,Boston Public Schools,McKinley School Study,Space programming study to determine requirements for all three McKinley School sites.,Public Facilities Department,New Project,South End,0,175000,0,0,0,0,0,0,175000,0,0,0,0,0,0,175000,525000
351,Boston Public Schools,Roxbury Elementary School Study,Develop a building program for the design and construction of a new K-6 school.,Public Facilities Department,New Project,Roxbury,0,150000,0,0,0,0,0,0,75000,75000,0,0,0,0,0,150000,450000
352,Boston Public Schools,Allston Elementary School  Study,Develop a building program for the design and construction of a new K-6 school to be located on the site of the Jackson Mann School.,Public Facilities Department,New Project,Allston/Brighton,0,150000,0,0,0,0,0,0,75000,75000,0,0,0,0,0,150000,450000
353,Boston Public Schools,Dorchester Elementary School Study,Develop a building program for the design and construction of a new K-6 school.,Public Facilities Department,New Project,Dorchester,0,150000,0,0,0,0,0,0,75000,75000,0,0,0,0,0,150000,450000
354,Boston Public Schools,West Roxbury Education Complex Study,Study to rebuild the WR Education Complex as a comprehensive 7-12 school.,Public Facilities Department,New Project,West Roxbury,0,150000,0,0,0,0,0,0,150000,0,0,0,0,0,0,150000,450000
355,Office of Arts & Culture,Edward O. Gourdin and African American Veterans Memorial,Complete fabrication and install a bronze memorial portrait of Justice Gourdin and ten bas-relief portraits of African American veterans of wars from the American Revolution to the Iraq War.,Office of Arts and Culture,Implementation Underway,Roxbury,150000,0,0,0,0,0,0,0,50000,100000,0,0,0,0,0,150000,450000
356,Transportation Department,"Massachusetts Avenue, North of Melnea Cass Blvd.","The project will improve pedestrian and cyclist safety on Massachusetts Avenue from Harrison Avenue to Melnea Cass Boulevard by adjusting curbs and medians, upgrading ramps, and establishing continuous bike facilities in both directions of the roadway.",Transportation Department,In Design,South End,0,0,0,150000,0,0,0,0,0,0,0,75000,75000,0,0,150000,450000
357,Public Works Department,Storm Water Pollution Study,Engineering study to identify methods to eliminate storm water pollution.,Public Works Department,To Be Scheduled,South End,150000,0,0,0,0,0,0,0,75000,75000,0,0,0,0,0,150000,450000
358,Transportation Department,Norwell Street Square,Develop dead-end section of Park Street into a plaza in conjunction with the development of a park in the adjacent lots.,Parks Dept,New Project,Dorchester,0,140000,0,0,0,0,0,0,140000,0,0,0,0,0,0,140000,420000
359,Office of Arts & Culture,Cultural Center Study,"Programming and siting study for the development of a cultural center that could include event space and programming that would reflect the cultures of the neighborhoods incuding Haitian, Jamaican, and other Afro-Caribbean cultures.",Public Facilities Department,New Project,Dorchester,0,125000,0,0,0,0,0,0,75000,50000,0,0,0,0,0,125000,375000
360,Boston Centers for Youth and Families,BCYF Allston Program Study,Develop building program and assess siting options for a new community center in Allston/Brighton.,Public Facilities Department,Study Underway,Allston/Brighton,125000,0,0,0,0,0,0,10000,50000,65000,0,0,0,0,0,125000,375000
361,Parks and Recreation Department,Field House Programming Study,Study and design of facility and programming improvements at Billings Field Fieldhouse and Lee Playground Fieldhouse.,Public Facilities Department,To Be Scheduled,Various neighborhoods,125000,0,0,0,0,0,0,0,50000,75000,0,0,0,0,0,125000,375000
362,Police Department,District B-3 Station Study,Programming study to evaluate space requirements for the District B-3 station.,Public Facilities Department,To Be Scheduled,Mattapan,100000,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,100000,300000
363,Police Department,District E-18 Station Study,Programming study to evaluate space requirements for the District E-18 station.,Public Facilities Department,To Be Scheduled,Hyde Park,100000,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,100000,300000
364,Parks and Recreation Department,Walsh Park Study,Develop a comprehensive park master plan that will guide future capital investments.,Parks and Recreation Department,New Project,Dorchester,0,100000,0,0,0,0,0,0,50000,50000,0,0,0,0,0,100000,300000
365,Parks and Recreation Department,Town Field Study,Develop a comprehensive park master plan that will guide future capital investments.,Parks and Recreation Department,New Project,Dorchester,0,100000,0,0,0,0,0,0,50000,50000,0,0,0,0,0,100000,300000
366,Public Health Commission,EMS Neighborhood Station Study,Programming and site evaluation to support EMS facilities that better serve each community with Emergency Medical Services.,Public Facilities Department,To Be Scheduled,Various neighborhoods,100000,0,0,0,0,0,0,0,50000,50000,0,0,0,0,0,100000,300000
367,Transportation Department,Safe Routes to Schools,Provide ROW services to support a MassDOT funded SRTS project in the vicinity of the David Ellis School in Roxbury,Transportation Department,New Project,Citywide,0,100000,0,0,0,0,0,0,100000,0,0,0,0,0,0,100000,300000
368,Parks and Recreation Department,Hardiman Playground,Develop design for a complete renovation of the play area.,Parks and Recreation Department,New Project,Allston/Brighton,0,100000,0,0,0,0,0,0,50000,50000,0,0,0,0,0,100000,300000
369,Office of Arts & Culture,Art Signage Upgrades,"Design, fabricate, and install custom interpretative signage for numerous artworks across the City.",Office of Arts and Culture,New Project,Citywide,0,100000,0,0,0,0,0,0,50000,50000,0,0,0,0,0,100000,300000
370,Police Department,Crime Lab Study,Programming study to evaluate space program requirements for the City's crime lab.,Police Department,New Project,Various neighborhoods,0,100000,0,0,0,0,0,0,25000,75000,0,0,0,0,0,100000,300000
371,Parks and Recreation Department,Ryan Playground Field House,"Design repairs to the fieldhouse including foundations repairs and waterproofing, updating electrical, new roof, and replace windows and doors.",Public Facilities Department,New Project,Charlestown,0,75000,0,0,0,0,0,0,75000,0,0,0,0,0,0,75000,225000
372,Parks and Recreation Department,Ringer Park Master Plan,Develop comprehensive park master plan that will guide future capital investments.,Parks and Recreation Department,Study Underway,Allston/Brighton,50000,0,0,0,0,0,43616,6384,0,0,0,0,0,0,25000,75000,200000
373,Police Department,Forensics Unit Facility Upgrades,Renovate interior space at BPD headquarters to redesign and expand the Forensic Unit.,Public Facilities Department,In Design,Roxbury,60000,0,0,0,0,0,0,10000,50000,0,0,0,0,0,0,60000,180000
374,Police Department,Emergency 9-1-1 Backup Study,Develop program for a new backup facility for E-9-1-1 call takers and police dispatch.,Public Facilities Department,Study Underway,Various neighborhoods,50000,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,50000,150000
375,Transportation Department,Roslindale Gateway,Design relative to the Arboretum Road Green Link project.,Parks and Recreation Department,In Design,Roslindale,0,0,0,50000,0,0,0,0,0,0,27383,22617,0,0,0,50000,150000
376,Boston Public Schools,Mendell School Roof,Replace the roof.,Boston Public Schools,New Project,Roxbury,0,50000,0,0,0,0,0,0,50000,0,0,0,0,0,0,50000,150000
377,Parks and Recreation Department,Watson Park,Develop design plans for a set of passive parks.,Parks and Recreation Department,New Project,South End,0,45000,0,0,0,0,0,0,45000,0,0,0,0,0,0,45000,135000
