|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Office of Labor Relations                      | Labor Relations                          | Personnel Services            |             804,291 |             831,980 |          1,009,358 |     1,363,403 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Office of Labor Relations                      | Labor Relations                          | Contractual Services          |             474,786 |             425,171 |            556,840 |       556,814 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Office of Labor Relations                      | Labor Relations                          | Supplies & Materials          |               1,267 |                 434 |              2,800 |         2,700 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Office of Labor Relations                      | Labor Relations                          | Current Charges & Obligations |              28,832 |              38,411 |             36,224 |        38,250 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Office of Labor Relations                      | Labor Relations                          | Equipment                     | #Missing            |               1,605 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Administration                           | Personnel Services            |             331,367 |             331,409 |            360,270 |       391,014 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Administration                           | Contractual Services          |              11,421 |               9,315 |              8,940 |        13,053 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Administration                           | Supplies & Materials          |              12,906 |              13,520 |             22,650 |        30,576 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Administration                           | Current Charges & Obligations |                 150 |                 377 |                150 |           150 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Vital Statistics                         | Personnel Services            |             530,096 |             545,849 |            563,231 |       545,728 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Vital Statistics                         | Contractual Services          |              27,636 |              13,237 |             33,320 |        30,960 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Vital Statistics                         | Supplies & Materials          |              24,151 |              23,946 |             14,750 |        14,750 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Vital Statistics                         | Current Charges & Obligations |                 227 | #Missing            |                280 |           280 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Vital Statistics                         | Equipment                     |              20,635 |               3,270 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Depositions                              | Personnel Services            |             118,685 |             142,609 |            148,109 |       153,821 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Depositions                              | Contractual Services          | #Missing            |                  -7 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Depositions                              | Supplies & Materials          |                 250 |                 250 |                250 |           250 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Registry Division                              | Depositions                              | Current Charges & Obligations |                 598 |                 598 |                600 |           600 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Unemployment Compensation                      | Unemployment Compensation                | Tot Unemployment Compensation |             634,863 |             528,212 |            350,000 |       350,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Workers' Compensation Fund                     | Workers' Compensation Fund               | Personnel Services            |               4,632 |           1,831,834 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Workers' Compensation Fund                     | Workers' Compensation Fund               | Supplies & Materials          | #Missing            |                 275 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| People Operations                | Workers' Compensation Fund                     | Workers' Compensation Fund               | Other Expenses                |           1,762,683 |               7,665 |          2,000,000 |     2,000,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Human Services Office                    | Personnel Services            | #Missing            |             699,808 |            624,665 |       869,146 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Human Services Office                    | Contractual Services          | #Missing            |           1,059,931 |          3,585,000 |     2,231,980 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Human Services Office                    | Supplies & Materials          | #Missing            |                 839 |              7,000 |         7,750 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Mayor's Office of Food Access            | Personnel Services            | #Missing            |             275,896 |            339,735 | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Mayor's Office of Food Access            | Contractual Services          | #Missing            |             395,319 |            763,000 |             0 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Mayor's Office of Food Access            | Supplies & Materials          | #Missing            |               2,925 |              2,000 |             0 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Mayor's Office of Food Access            | Current Charges & Obligations | #Missing            | #Missing            |                150 |             0 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Mayor's Office of Food Access            | Equipment                     | #Missing            |                 765 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Mayor's Office of Public Safety          | Personnel Services            | #Missing            | #Missing            |            440,816 |       713,326 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Mayor's Office of Public Safety          | Contractual Services          | #Missing            | #Missing            |            128,918 |     1,960,918 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Office of Human Services                       | Mayor's Office of Public Safety          | Supplies & Materials          | #Missing            | #Missing            |              3,000 |         3,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Administration & Policy                  | Personnel Services            |          13,596,951 |          12,492,577 |         12,363,590 |    12,086,645 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Administration & Policy                  | Contractual Services          |           3,196,584 |           3,167,630 |          2,999,628 |     3,119,077 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Administration & Policy                  | Supplies & Materials          |             433,623 |             263,323 |            394,148 |       358,698 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Administration & Policy                  | Current Charges & Obligations |             122,093 |             128,045 |            282,312 |       282,892 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Administration & Policy                  | Equipment                     |             163,645 |              98,366 |            268,126 |       317,617 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Sports & Fitness                         | Personnel Services            |           4,167,296 |           4,416,704 |          4,950,962 |     5,107,019 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Sports & Fitness                         | Contractual Services          |                 564 |                 357 |            500,000 |       500,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Youth & Family Services                  | Personnel Services            |           3,996,411 |           4,233,249 |          4,843,192 |     4,905,261 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Youth & Family Services                  | Contractual Services          |             215,784 |              41,814 |            301,000 |       301,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Youth & Family Services                  | Supplies & Materials          |              14,217 | #Missing            | #Missing           |         7,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Youth & Family Services                  | Current Charges & Obligations |              40,924 |              48,102 |             50,000 |        50,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Youth & Family Services                  | Equipment                     |              50,265 |               7,275 |             20,418 |        28,686 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Child Care & Out-of-School               | Personnel Services            |           1,271,585 |           1,154,871 |          1,545,164 |     1,538,398 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Child Care & Out-of-School               | Contractual Services          |           1,268,295 |             851,471 |          1,179,500 |     1,179,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Child Care & Out-of-School               | Supplies & Materials          |               7,229 |               1,075 |             12,600 |         9,600 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Boston Center for Youth & Families             | Child Care & Out-of-School               | Current Charges & Obligations | #Missing            | #Missing            |              2,500 |         2,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Administration                | Personnel Services            |             968,389 |             762,883 |          1,070,654 |     1,112,047 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Administration                | Contractual Services          |             167,906 |             311,470 |             56,660 |       257,175 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Administration                | Supplies & Materials          |              12,991 |               8,710 |             13,950 |         8,850 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Administration                | Current Charges & Obligations |              33,094 |              50,786 |              9,680 |        25,610 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Operations                    | Personnel Services            |             518,568 |             499,873 |            755,168 |       741,112 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Operations                    | Contractual Services          |             398,915 |             302,538 |            958,270 |       510,350 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Operations                    | Supplies & Materials          |             113,670 |               5,455 |            230,630 |       229,445 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Operations                    | Current Charges & Obligations |               2,700 |                 250 |             47,700 |        50,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Transportation                | Personnel Services            |           1,291,342 |           1,264,268 |          1,408,942 |     1,418,827 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Transportation                | Contractual Services          |              67,755 |              66,757 |             78,800 |        69,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Transportation                | Supplies & Materials          |              54,094 |              50,541 |             60,140 |        77,941 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Transportation                | Current Charges & Obligations |              15,512 |               7,215 | #Missing           |        12,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Age Strong Transportation                | Equipment                     | #Missing            |             150,248 | #Missing           |        34,832 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Program & Partnerships                   | Personnel Services            |             229,408 |             267,282 |            268,598 |       485,097 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Program & Partnerships                   | Contractual Services          |                 416 |             135,177 |            300,000 |       968,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Age Strong                                     | Program & Partnerships                   | Supplies & Materials          |                 250 |                 500 |              1,330 |         1,330 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Library Department                             | Library Administration                   | Personnel Services            |           8,674,831 |           9,186,158 |          9,178,378 |     9,519,331 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Library Department                             | Library Administration                   | Contractual Services          |           7,847,652 |           8,464,777 |          9,014,574 |     9,188,482 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Human Services                   | Library Department                             | Library Administration                   | Supplies & Materials          |           4,059,432 |           4,191,014 |          3,325,008 |     3,914,686 |  |       |                                        |                                        |
