Applicant Street,Applicant Zip Code,Type of Award,Race and Ethnicity,Primary Language Spoken,Gender Identity,Do you have a mobile housing voucher?,Receive SNAP/EBT Benefits?,How many in household?,Total Monthly Income all sources,Are you currently employed?,Total Amount Awarded,Date Payment Issued,Disposition of case,"If ineligible, why?",longitude,latitude
Georgetowne Drive,02136,Rental Arrears,Latino,Spanish,Female,No,Yes,99.0,0,Yes,2057.76,4/1/2022,Approved,,-71.1261,42.254
Georgetowne drive,02136,Rental Arrears; Utility Payments,White,English,Female,No,Yes,5.0,1300,Yes,4861.1,2/18/2022,Approved,,-71.1261,42.254
georgetowne drive,02136,Utility Payments,Black/African American,English,Female,No,Yes,4.0,641,Yes,2000.0,,Approved,,-71.1261,42.254
Georgia St,02121,Future Stipend; Rental Arrears,Black/African American,Other,Male,No,Yes,4.0,2750,Yes,9175.0,,Approved,,-71.0745,42.2973
Georgia Street,02121,Rental Arrears; Utility Payments,Latino,Spanish,Female,No,Yes,2.0,1510.75,Yes,1502.53,8/17/2022,Approved,,-71.0745,42.2973
Georgia Street,02121,Future Stipend; Rental Arrears,Latino,English,,No,Yes,1.0,0,No,3000.0,,Approved,,-71.0745,42.2973
Germania St,02130,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,3.0,1148,,3600.0,,Approved,,-71.1115,42.3126
Gibson St,02126,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,1.0,3200,Yes,6854.0,12/10/2021,Approved,,-71.0939,42.2739
GIBSON ST,02122,Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,Yes,2.0,1500,Yes,4635.85,4/29/2022,Approved,,-71.0745,42.2973
Gibson St,02122,Rental Arrears,White,English,Female,No,No,3.0,4116.71,Yes,10000.0,,Approved,,-71.0745,42.2973
Gilmer St,02126,Rental Arrears; Utility Payments,Black,English,Male,No,Yes,1.0,0,No,8350.0,,Approved,,-71.0939,42.2739
Gilmer St,02126,Rental Arrears,Black/African American; White,English,Male,,,1.0,1416,Unemployment application was accepted,8700.0,,Approved,,-71.0939,42.2739
Gilmer street,02126,Future Stipend; Rental Arrears,Indigenous,English,Male,No,Yes,1.0,0,No,10800.0,,Approved,,-71.0939,42.2739
Ginita Street,02122,Rental Arrears,White;Black;Latino,Spanish,Female,No,Yes,3.0,640,Yes,2400.0,6/30/2022,Approved,,-71.0745,42.2973
GLADSTONE ST,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,2.0,1600,Yes,4100.0,6/10/2022,Approved,,-71.0257,42.3642
Gladstone St,02128,Rental Arrears,Latino,Spanish,Male,,,4.0,0,,3218.0,,Approved,,-71.0257,42.3642
Gladstone St,02128,Rental Arrears; Utility Payments,Latino,Spanish,Female,No,Yes,5.0,3384,Yes,9645.78,,Approved,,-71.0257,42.3642
Gladstone St,02128,Rental Arrears,Black/African American; White; White,Arabic,Male,,,5.0,1400,,15000.0,,Approved,,-71.0257,42.3642
Gladstone St,02128,Future Stipend; Rental Arrears; Utility Payments,Latino,English,Female,,,3.0,0,No,6377.78,7/22/2021,Approved,,-71.0257,42.3642
Gladstone St,02128,,Latino,Spanish,Female,No,Yes,4.0,680,,6000.0,,Approved,,-71.0257,42.3642
Gladstone St,02128,Future Stipend,White,English,Female,No,Yes,6.0,5704,No,8100.0,,Approved,,-71.0257,42.3642
Gladstone Street,02128,Rental Arrears,White,English,Female,,,1.0,1288,Yes,7629.0,,Approved,,-71.0257,42.3642
Glen St,02125,Future Stipend,Latino,Spanish,Female,,,5.0,200,No,5400.0,7/5/2021,Approved,,-71.0745,42.2973
Glenaville Ave.,02134,Future Stipend; Rental Arrears,Asian,English,Female,,,2.0,1500,,5903.0,,Approved,,-71.1329,42.3535
Glendale Street,02136,Rental Arrears,Black/African American,English,Male,No,No,1.0,0,No,14850.0,,Approved,,-71.1261,42.254
glendale st,02121,Moving Costs,Black/African American;Black,English,Female,No,No,2.0,4586.58,Yes,1410.0,,Approved,,-71.0745,42.2973
Glendale Street,02126,Future Stipend; Moving Costs,Black/African American,English,Male,No,No,2.0,2500,Yes,4752.0,,Approved,,-71.0939,42.2739
Glendale Street,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,0,No,6739.5,,Approved,,-71.0745,42.2973
Glendon St,02128,Rental Arrears,Latino,Spanish,Female,No,No,5.0,1700,,2100.0,,Approved,,-71.0257,42.3642
Glendower Rd,02131,Future Stipend; Rental Arrears,Latino; Multi-Racial,English,Female,,,2.0,2400,Yes,6100.0,,Approved,,-71.1295,42.2836
Glendower Rd,02131,Future Stipend,Latino,English,Male,No,Yes,3.0,2600,No,6000.0,,Approved,,-71.1295,42.2836
Glenham Street,02132,Future Stipend; Rental Arrears,Black/African American,Other,Male,No,No,1.0,0,No,6300.0,,Approved,,-71.1589,42.2787
Glenley Terrace,02135,Future Stipend; Rental Arrears,Middle Eastern/West Asian or North African,English,Female,,,1.0,544,No,15000.0,,Approved,,-71.1566,42.3478
Glenly Terrece,02135,Rental Arrears,Middle Eastern/West Asian or North African,English,Female,,,1.0,#ERROR!,,4000.0,,Approved,,-71.1566,42.3478
Glenmont Rd,02135,,Black/African American; Black/African American; Latino; Multi-Racial; White,English,Female,No,No,1.0,0,,0.0,,Approved,,-71.1566,42.3478
Glenmont Rd,02,Future Stipend,Multi-Racial,English,Trans male,,,1.0,400,,2250.0,,Approved,,,
Glenmont Road,02135,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,No,6.0,0,No,5460.75,10/29/2021,Approved,,-71.1566,42.3478
Glenmont Rd,02135,Future Stipend; Rental Arrears,White,English,Male,No,Yes,6.0,0,No,3200.0,,Approved,,-71.1566,42.3478
Glenmont Rd,02135,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,400,No,4000.0,3/4/2022,Approved,,-71.1566,42.3478
Glenmont Rd.,02135,Future Stipend; Rental Arrears,White,English,Male,No,Yes,6.0,0,No,2800.0,,Approved,,-71.1566,42.3478
Glenville Av,02134,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,3.0,2136,No,7540.0,,Approved,,-71.1329,42.3535
Glenville Ave,02134,,Latino,English,Female,No,Yes,3.0,792,,3789.0,,Approved,,-71.1329,42.3535
glenville avenue,02134,Rental Arrears,Latino,English,Male,No,Yes,6.0,5702.52,Yes,3125.0,9/16/2022,Approved,,-71.1329,42.3535
Glenville Ave,02134,Rental Arrears,Latino,English,Male,No,No,2.0,1080,Yes,4602.0,9/30/2022,Approved,,-71.1329,42.3535
Glenville Ave,02134,Rental Arrears,Black,English,Male,,,1.0,3083,,3309.0,,Approved,,-71.1329,42.3535
glenville ave,02134,Rental Arrears,Black/African American,English,Male,No,Yes,1.0,3468.34,Yes,4326.0,,Approved,,-71.1329,42.3535
Glenville Ave,02134,Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,1.0,878,No,1216.72,,Approved,,-71.1329,42.3535
Glenville Ave,02134,Rental Arrears,Asian,Other,Male,No,Yes,4.0,2200,Yes,4563.0,7/8/2022,Approved,,-71.1329,42.3535
Glenville Ave,02134,Rental Arrears; Utility Payments,White,English,Male,No,Yes,1.0,1280,Yes,6480.91,,Approved,,-71.1329,42.3535
Glenway St,02121,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,900,No,5700.0,,Approved,,-71.0745,42.2973
Glenway st,02125,Utility Payments,Black/African American,English,Female,No,Yes,3.0,1094,Yes,2000.0,,Approved,,-71.0745,42.2973
Glenway St,02121,Future Stipend; Rental Arrears,Multi-Racial,English,Female,,,1.0,1300,No,2750.0,7/7/2021,Approved,,-71.0745,42.2973
Glenway St,02121,Rental Arrears,Black/African American,English,Female,No,Yes,4.0,2500,,1900.0,,Approved,,-71.0745,42.2973
Glenway Street,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,,,3.0,900,No,2200.0,,Approved,,-71.0745,42.2973
Glenway Street,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,,,4.0,2800,,9500.0,,Approved,,-71.0745,42.2973
Glenway St,02121,Rental Arrears,Latino,Spanish,Female,,,3.0,5100,,4000.0,,Approved,,-71.0745,42.2973
"Glenway Street,",02121,Rental Arrears,Latino,English,Not reported,,,3.0,10000,,1548.0,,Approved,,-71.0745,42.2973
Glenwood Ave,02136,Future Stipend; Rental Arrears,Black/African American,English,Male,,,1.0,0,No,5200.0,,Approved,,-71.1261,42.254
Glenwood Ave,02136,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,400,,5200.0,,Approved,,-71.1261,42.254
Glines Ave,02119,Rental Arrears,White,English,Female,No,Yes,2.0,1700,,6000.0,,Approved,,-71.0953,42.3251
Glines ave,02119,Rental Arrears,Black/African American,English,Female,Yes,Yes,2.0,944,No,1330.0,8/19/2022,Approved,,-71.0953,42.3251
Goodale Rd,02126,Rental Arrears,Black/African American,English,Male,No,No,1.0,1464,,6000.0,,Approved,,-71.0939,42.2739
Goodale Road,02126,Future Stipend; Moving Costs,Black/African American,English,Female,Yes,Yes,3.0,3114.6,No,10593.0,,Approved,,-71.0939,42.2739
Goodenough St,02135,Rental Arrears,White,English,Male,No,No,2.0,0,No,15000.0,,Approved,,-71.1566,42.3478
goodenough st,02135,Future Stipend; Rental Arrears,White,Portguese,Male,No,No,3.0,2150,Yes,13200.0,,Approved,,-71.1566,42.3478
Goodrich Rd,02130,Future Stipend,Black/African American; Latino,Spanish,Male,,,4.0,850,Yes,2550.0,,Approved,,-71.1115,42.3126
Goodrich Rd,02130,Future Stipend,Black/African American; Latino,English,Male,No,Yes,1.0,2000,,850.0,,Approved,,-71.1115,42.3126
Gordon Pl,02122,Rental Arrears,Black/African American,English,Female,Yes,Yes,4.0,589,No,439.0,,Approved,,-71.0745,42.2973
Gordon Place,02122,Rental Arrears,Black/African American,English,Female,Yes,Yes,3.0,589,No,439.0,,Approved,,-71.0745,42.2973
Gordon St,02134,Rental Arrears,White,English,Male,No,Yes,1.0,400,Yes,5000.0,9/23/2022,Approved,,-71.1329,42.3535
Gordon St,02134,Rental Arrears,White,English,Male,No,Yes,1.0,600,No,5000.0,,Approved,,-71.1329,42.3535
Gordon Ave,02136,Rental Arrears,Black/African American,English,Female,,,5.0,2000,,4000.0,,Approved,,-71.1261,42.254
Gordon St,02136,Rental Arrears,Black/African American,English,Not reported,,,3.0,35615,,4000.0,,Approved,,-71.1261,42.254
Gordon St,02135,Rental Arrears,Black/African American,English,Female,No,No,2.0,500,,5435.0,,Approved,,-71.1566,42.3478
Gordon St,02135,Future Stipend; Rental Arrears,Asian,,Female,No,No,5.0,1867,,4000.0,,Approved,,-71.1566,42.3478
Gordon st,02135,Future Stipend; Rental Arrears,White,Portguese,Female,No,No,1.0,2500,Yes,9000.0,,Approved,,-71.1566,42.3478
Gordon Av,02136,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,3.0,300,,10800.0,,Approved,,-71.1261,42.254
Gould Street,02135,Rental Arrears,American Indian or Alaskan Native,English,Male,,,4.0,#ERROR!,,1876.0,,Approved,,-71.1566,42.3478
Gragmere Terrace,02126,Future Stipend; Rental Arrears,White,English,Female,No,Yes,4.0,1498,No,2295.0,,Approved,,-71.0939,42.2739
Grampian Way,02125,Rental Arrears,White,English,Male,,,1.0,1455,,8400.0,,Approved,,-71.0745,42.2973
Granger St,02122,Utility Payments,Black/African American,English,Female,,,3.0,1249.8,No,1500.0,,Approved,,-71.0745,42.2973
Grant St.,02125,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,,,1.0,0,,16650.09,,Approved,,-71.0745,42.2973
Greaton Road,02132,Future Stipend; Rental Arrears,American Indian or Alaskan Native;Black,English,Female,No,Yes,2.0,2763,No,9513.3,5/20/2022,Approved,,-71.1589,42.2787
Green St,02130,Rental Arrears,Black/African American,English,Male,No,Yes,1.0,861,No,2830.0,,Approved,,-71.1115,42.3126
GREEN STREET,02130,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,1.0,857,No,3230.0,,Approved,,-71.1115,42.3126
Green St,02130,,Black/African American,English,Male,No,No,1.0,800,,4259.0,,Approved,,-71.1115,42.3126
Green Street,02130,Future Stipend; Rental Arrears,White,English,Male,,,1.0,0,,1950.0,,Approved,,-71.1115,42.3126
Green Street,02130,Future Stipend; Rental Arrears,White,English,Male,No,Yes,1.0,390,No,2626.8,6/24/2022,Approved,,-71.1115,42.3126
Green Street,02130,Future Stipend; Rental Arrears,White,English,Female,No,Yes,1.0,1174,No,3623.0,6/19/2022,Approved,,-71.1115,42.3126
Green Street,02130,Rental Arrears,Black/African American,English,Female,No,No,1.0,3881.8,Yes,3240.0,,Approved,,-71.1115,42.3126
Greenbrier St,02124,Utility Payments,Latino,Spanish,Female,Yes,No,4.0,1600,Yes,2000.0,3/11/2022,Approved,,-71.0717,42.2918
Greenbrier st,02121,Rental Arrears; Utility Payments,Black/African American,Other,Female,Yes,Yes,5.0,1114,No,6627.0,5/13/2022,Approved,,-71.0745,42.2973
Greenfield Rd,02126,Rental Arrears,Latino,Spanish,Female,,,,1497,,3600.0,,Approved,,-71.0939,42.2739
Greenfield Rd,02126,Future Stipend; Moving Costs; Rental Arrears,Latino,Spanish,Female,,,2.0,3368,,8560.0,,Approved,,-71.0939,42.2739
Greenheys Street,02121,Moving Costs,Black/African American,English,Female,,,2.0,1968,,5700.0,,Approved,,-71.0745,42.2973
"Greenheys St,",02121,Rental Arrears,Black/African American,English,Female,No,Yes,4.0,0,No,4098.0,4/15/2022,Approved,,-71.0745,42.2973
GREENHEYS ST,02121,Rental Arrears; Utility Payments,Latino,English,Female,No,Yes,1.0,1372,Yes,8547.23,2/25/2022,Approved,,-71.0745,42.2973
Greenmount St,02125,Rental Arrears,Black/African American,Cape Verdean Creole,Female,No,No,1.0,0,,6000.0,,Approved,,-71.0745,42.2973
Greenmount St,02125,,Black/African American,Cape Verdean Creole,Female,No,No,2.0,0,,0.0,,Approved,,-71.0745,42.2973
greenough lane,02113,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,1.0,250,No,6200.0,,Approved,,-71.056,42.3657
Greenville st,02119,Future Stipend; Rental Arrears,Black,Spanish,Not listed,No,No,1.0,0,No,8340.0,,Approved,,-71.0953,42.3251
Greenwich St,02120,Rental Arrears,Black/African American,English,Female,,,3.0,2475,No,4044.0,,Approved,,-71.0912,42.3307
Greenwich St,02122,Utility Payments,White,English,Female,No,Yes,1.0,0,No,1878.34,9/2/2022,Approved,,-71.0745,42.2973
Greenwich ,02122,Future Stipend; Rental Arrears; Utility Payments,Asian,Vietnamese,Female,,,1.0,1600,Yes,14980.0,,Approved,,-71.0745,42.2973
Greenwich St,02122,Rental Arrears,Asian,Vietnamese,Female,No,Yes,1.0,1600,,5400.0,,Approved,,-71.0745,42.2973
Greenwich St,02122,Rental Arrears,Asian,Vietnamese,Male,,,4.0,2800,Yes,5400.0,,Approved,,-71.0745,42.2973
Greenwood Ave.,02136,Rental Arrears,Indigenous,English,Female,,,3.0,1300,No,11565.69,,Approved,,-71.1261,42.254
greenwood street,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,,,2.0,4000,Yes,15000.0,,Approved,,-71.0745,42.2973
Greenwood Ave,02136,Rental Arrears,Black/African American,English,Female,,,6.0,1000,,4000.0,,Approved,,-71.1261,42.254
Greenwood Ave,02136,,Black/African American,English,Female,No,No,5.0,2148,,6000.0,,Approved,,-71.1261,42.254
Greenwood Street,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,,,1.0,0,No,5200.0,,Approved,,-71.0745,42.2973
Greenwood Street,02121,Rental Arrears,Asian,English,Female,,,2.0,4040,,4000.0,,Approved,,-71.0745,42.2973
Greenwood Street,02121,Future Stipend; Rental Arrears,Black/African American,English,Male,,,1.0,500,Yes,4850.0,,Approved,,-71.0745,42.2973
"Greenwood St,",02121,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,,,5.0,884,No,1259.06,,Approved,,-71.0745,42.2973
Greenwood st,02125,Rental Arrears,Black/African American,English,Female,Yes,Yes,4.0,598,No,2400.0,3/30/2022,Approved,,-71.0745,42.2973
Grew Ave,02131,Rental Arrears,Latino,English,Female,,,,0,,4000.0,,Approved,,-71.1295,42.2836
Groom St,02125,Rental Arrears,Other Race,,Female,,,4.0,436,,4000.0,,Approved,,-71.0745,42.2973
Grove St.,02114,Future Stipend; Utility Payments,White,English,Female,,,1.0,3350,Yes,6793.88,,Approved,,-71.0682,42.3611
Grove Street,02132,Rental Arrears,Black/African American,English,Female,,,1.0,2268,No,13300.0,,Approved,,-71.1589,42.2787
Grove Street,02132,Rental Arrears,American Indian or Alaskan Native;Black/African American,English,Female,,,1.0,0,,3200.0,,Approved,,-71.1589,42.2787
Guest st,02135,Rental Arrears; Utility Payments,Latino,English,Female,Yes,No,2.0,0,No,4771.86,,Approved,,-71.1566,42.3478
Guest St,02135,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,1873,No,5390.0,9/3/2021,Approved,,-71.1566,42.3478
Guest st.,02135,Rental Arrears; Utility Payments,Latino,English,Female,,,1.0,5000,Yes,3733.56,,Approved,,-71.1566,42.3478
Guest Street,02135,Future Stipend; Rental Arrears,Black,English,Female,No,No,1.0,0,No,5290.44,,Approved,,-71.1566,42.3478
"Guest Street,",02135,Rental Arrears,Latino,English,Female,,,4.0,25000,,4000.0,,Approved,,-71.1566,42.3478
H Street,02127,Future Stipend; Rental Arrears,White,English,Male,,,1.0,3200,All or some members of the household are not eligible,7780.0,,Approved,,-71.0375,42.3347
H St.,02127,Rental Arrears,White,English,Female,,,1.0,1136,Yes,4700.0,,Approved,,-71.0375,42.3347
Hallam St,02125,Future Stipend,Asian,,Female,No,Yes,6.0,2120,,6000.0,,Approved,,-71.0745,42.2973
Hallet St,02122,Rental Arrears,White,English,Male,,,,0,,2550.0,,Approved,,-71.0745,42.2973
Hallowell Street,02126,Rental Arrears,Black/African American,English,Male,No,No,1.0,0,No,17000.0,12/21/2021,Approved,,-71.0939,42.2739
Hamilton St,02125,Rental Arrears,Black,English,Male,,,,0,,1800.0,,Approved,,-71.0745,42.2973
Hamilton St,02125,,Black/African American; Multi-Racial,English,Female,No,No,1.0,0,,2600.0,,Approved,,-71.0745,42.2973
Hamilton st,02125,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,,,3.0,1974,Yes,9500.0,8/17/2021,Approved,,-71.0745,42.2973
HAMILTON ST,02136,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,3.0,4200,Yes,15592.11,,Approved,,-71.1261,42.254
Hamilton st,02136,Rental Arrears,American Indian or Alaskan Native,English,Male,Yes,No,3.0,2720,Yes,2181.0,8/5/2022,Approved,,-71.1261,42.254
Hamilton Street,02125,Future Stipend; Rental Arrears; Utility Payments,White,English,Male,No,Yes,1.0,1808,No,15478.66,,Approved,,-71.0745,42.2973
Hamilton Street,02122,Future Stipend; Rental Arrears,Multi-Racial,English,Female,,,1.0,1763,,2550.0,,Approved,,-71.0745,42.2973
Hamilton St.,02122,Future Stipend; Rental Arrears,Black,Cape Verdean Creole,Female,No,Yes,4.0,1600,No,12000.0,2/18/2022,Approved,,-71.0745,42.2973
Hammond St.,02120,Future Stipend; Rental Arrears,Black/African American,English,Female,,,4.0,0,,5601.0,8/27/2021,Approved,,-71.0912,42.3307
"hammond st,",02120,Future Stipend; Rental Arrears,Black/African American;Latino,English,Female,No,Yes,4.0,3619.17,Yes,4754.0,,Approved,,-71.0912,42.3307
hammond street,02120,Rental Arrears,American Indian or Alaskan Native,English,Female,No,No,2.0,1687,No,3656.0,,Approved,,-71.0912,42.3307
Hancock St,02125,Rental Arrears,Black/African American,Haitian Creole,Male,No,No,1.0,2500,,3200.0,,Approved,,-71.0745,42.2973
Hancock St,02125,,Black/African American,Cape Verdean Creole,Female,No,Yes,5.0,1136,,4000.0,,Approved,,-71.0745,42.2973
Hancock St,02125,Rental Arrears,Black/African American,English,Male,,,3.0,2200,,4000.0,,Approved,,-71.0745,42.2973
Hancock Street,02125,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Male,,,2.0,783,Unemployment application was denied,14480.0,,Approved,,-71.0745,42.2973
Hancock Street,02125,Utility Payments,Black/African American,English,Female,No,No,3.0,1000,Yes,2000.0,,Approved,,-71.0745,42.2973
Hancock Street,02125,Rental Arrears,Black/African American,English,Female,Yes,No,3.0,4444,Yes,5704.45,,Approved,,-71.0745,42.2973
Hannon ,02124,Rental Arrears,Black/African American,English,Female,No,Yes,4.0,2568,No,4000.0,,Approved,,-71.0717,42.2918
Hannon Street,02124,Rental Arrears,Black/African American,English,Not reported,,,4.0,35000,,4000.0,,Approved,,-71.0717,42.2918
Hannon Street,02124,Rental Arrears; Utility Payments,Black/African American,English,Female,,,3.0,1500,Yes,4516.53,7/10/2021,Approved,,-71.0717,42.2918
Hanover st,02113,Rental Arrears,Black/African American,English,Female,No,No,1.0,0,No,17000.0,,Approved,,-71.056,42.3657
Hanover St,02113,Future Stipend,White,English,Male,No,No,1.0,0,No,2850.0,,Approved,,-71.056,42.3657
Hanover Street,02113,Rental Arrears,White,English,Male,,,1.0,2000,Yes,6400.0,,Approved,,-71.056,42.3657
Hanover Street,02113,Rental Arrears,White,English,Male,,,1.0,624,,3200.0,,Approved,,-71.056,42.3657
Hansborough Street,02124,Rental Arrears,Black/African American,English,Female,,,1.0,0,No,14400.0,,Approved,,-71.0717,42.2918
Haravrd Street,02126,Future Stipend; Rental Arrears,Latino,English,Female,,,2.0,2400,,4950.0,7/5/2021,Approved,,-71.0939,42.2739
Harbor Point,02125,Rental Arrears,Latino,English,Female,,,3.0,#ERROR!,Yes,2168.0,,Approved,,-71.0745,42.2973
harbor point,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,6.0,2300,No,7300.0,,Approved,,-71.0745,42.2973
Harbor Point,02125,Future Stipend,Latino,Spanish,Female,,,3.0,4336,Yes,5400.0,,Approved,,-71.0745,42.2973
Harbor Point,02125,Future Stipend,White;Black,English,Male,No,Yes,2.0,2400,No,2850.0,,Approved,,-71.0745,42.2973
Harborview St,02125,Rental Arrears,White,English,Female,,,2.0,13552,,4000.0,,Approved,,-71.0745,42.2973
Harding Rd,02131,,Latino,Spanish,Female,No,Yes,5.0,0,,4350.0,,Approved,,-71.1295,42.2836
Harlem St,02121,Rental Arrears,Black/African American,Cape Verdean Creole,Genderqueer Gender non binary,No,No,1.0,400,,6000.0,,Approved,,-71.0745,42.2973
Harlow Street,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,2.0,700,Yes,12852.0,,Approved,,-71.0745,42.2973
Harold st,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,499,No,15000.0,,Approved,,-71.0745,42.2973
Harold St,02121,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,2.0,1216,,2100.0,,Approved,,-71.0745,42.2973
Harold Street,02121,Future Stipend,Black/African American,English,Male,,,2.0,0,No,4500.0,,Approved,,-71.0745,42.2973
Harold St,02121,Future Stipend; Moving Costs,White,English,Female,No,No,2.0,0,No,6300.0,,Approved,,-71.0745,42.2973
Harold Street,02121,Rental Arrears,Latino,English,Male,,,2.0,25000,,4000.0,,Approved,,-71.0745,42.2973
harold st.,02121,Rental Arrears,Black/African American,English,Female,No,No,2.0,3500,Yes,4918.0,,Approved,,-71.0745,42.2973
Harriet St,02135,Future Stipend; Rental Arrears,Black/African American,English,Female,,,1.0,0,,14850.0,,Approved,,-71.1566,42.3478
Harriet St,02135,Rental Arrears,Black/African American,English,,,,1.0,0,,8100.0,,Approved,,-71.1566,42.3478
Harriet Street,02135,Future Stipend; Rental Arrears,White,English,Male,,,4.0,2700,,11500.0,,Approved,,-71.1566,42.3478
Harrishof Street,02121,Rental Arrears,Black/African American,English,Male,,,1.0,0,No,12689.02,,Approved,,-71.0745,42.2973
Harrison Street,02131,Rental Arrears,Latino,English,Female,,,5.0,780,,4000.0,,Approved,,-71.1295,42.2836
Harrison St,02131,Future Stipend,White,English,Male,No,No,3.0,1800,,875.0,,Approved,,-71.1295,42.2836
Harrison St.#F,02131,Rental Arrears,Latino,Spanish,Female,,,1.0,0,No,7750.0,,Approved,,-71.1295,42.2836
Harrison Ave,02111,Future Stipend; Rental Arrears,Asian,Chinese Cantonese,Female,No,Yes,2.0,2154.92,Yes,5935.56,,Approved,,-71.0629,42.3503
Harrison Ave,02118,Future Stipend; Rental Arrears,Other Race;Black,English,Female,No,No,1.0,0,No,5639.0,6/24/2022,Approved,,-71.0729,42.3362
Harrison Ave,02118,Future Stipend; Rental Arrears,Asian,English,Male,No,No,1.0,2200,Yes,4042.69,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Rental Arrears,Black/African American; Decline to answer,English,Female,No,No,2.0,2472,Yes,1472.34,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Future Stipend; Rental Arrears,Black/African American;Black,English,Female,No,Yes,1.0,1156,,4000.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Future Stipend; Rental Arrears,Asian,Chinese Cantonese,Female,,,2.0,1200,No,4560.94,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,1852,No,4500.0,10/14/2021,Approved,,-71.0729,42.3362
Harrison Ave,02118,Rental Arrears,Other Race,English,Male,No,No,1.0,2400,Yes,2675.0,11/19/2021,Approved,,-71.0729,42.3362
Harrison Ave,02124,Future Stipend; Rental Arrears; Utility Payments,Latino,English,Male,,,1.0,2400,Yes,10442.18,,Approved,,-71.0717,42.2918
Harrison Ave,02116,Rental Arrears,Multi-Racial,English,Female,No,Yes,2.0,2443,No,4552.65,,Approved,,-71.0768,42.3492
Harrison Ave,02118,Rental Arrears,Black/African American,English,Male,,,1.0,4888,Yes,14496.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Rental Arrears,Latino,English,Male,,,1.0,8500,Yes,15000.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,,Latino,English,Male,No,No,1.0,2124,,4000.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Rental Arrears,Black/African American,English,Not reported,,,2.0,1800,,1726.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Rental Arrears,Other Race,English,Not reported,,,,1300,,3200.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,,Asian,English,Male,No,No,1.0,1500,,0.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,,Black/African American,English,Male,No,Yes,1.0,1212,,3648.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Future Stipend; Rental Arrears,White,English,Female,No,Yes,1.0,122,No,12985.0,11/2/2021,Approved,,-71.0729,42.3362
Harrison Ave,02118,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,2744,,3375.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Rental Arrears,Pacific Islander;Native Hawaiian or Other Pacific Islander,English,Genderqueer Gender non binary,Yes,No,1.0,1452,Yes,2415.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,3586,Yes,6637.8,6/10/2022,Approved,,-71.0729,42.3362
Harrison Ave,02118,Future Stipend,Asian,Chinese Cantonese,Male,No,No,4.0,2748,Yes,5400.0,,Approved,,-71.0729,42.3362
Harrison Avenue,02118,Rental Arrears,Black,English,Female,,,1.0,1800,,4000.0,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Future Stipend; Rental Arrears,Black/African American,English,Female,Yes,Yes,1.0,728,No,1381.35,,Approved,,-71.0729,42.3362
Harrison Ave,02118,Rental Arrears,Black/African American,English,Female,No,No,2.0,2671,,5962.0,,Approved,,-71.0729,42.3362
